epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,57.6341,28
0.11,21.689308166503906,2.25e-06,60.4467,29
0.21,21.53131675720215,4.75e-06,60.2474,30
0.32,24.582115173339844,7.25e-06,60.0018,31
0.43,28.722530364990234,9.750000000000002e-06,60.2079,32
0.53,30.356313705444336,1.225e-05,54.6837,33
0.64,32.3724365234375,1.475e-05,49.5005,34
0.75,28.277828216552734,1.725e-05,43.7061,35
0.85,22.32898712158203,1.9750000000000002e-05,38.1209,36
0.96,19.2478084564209,2.2250000000000002e-05,34.2496,37
1.06,16.936336517333984,2.4750000000000002e-05,29.5517,52
1.17,20.199310302734375,2.725e-05,27.2282,53
1.28,25.789648056030273,2.975e-05,25.0666,54
1.38,26.680892944335938,3.2250000000000005e-05,24.8445,55
1.49,28.851259231567383,3.475e-05,22.7645,56
1.6,37.2801628112793,3.7250000000000004e-05,22.1707,57
1.7,48.126914978027344,3.9750000000000004e-05,21.305,58
1.81,51.763729095458984,4.2250000000000004e-05,19.5669,59
1.92,57.001747131347656,4.4750000000000004e-05,17.7545,60
2.02,77.516357421875,4.7249999999999997e-05,16.493,75
2.13,84.65898132324219,4.975e-05,14.9906,76
2.23,86.25481414794922,4.951508620689656e-05,13.6636,77
2.34,96.7133560180664,4.897629310344828e-05,11.4915,78
2.45,114.01820373535156,4.8437500000000005e-05,9.4803,79
2.55,119.60870361328125,4.7898706896551726e-05,7.9132,80
2.66,107.39376831054688,4.735991379310345e-05,6.1672,81
2.77,92.14856719970703,4.6821120689655174e-05,4.2745,82
2.87,66.89160919189453,4.6282327586206894e-05,3.2304,83
2.98,47.61344909667969,4.574353448275862e-05,1.9874,84
3.09,25.88046646118164,4.520474137931034e-05,1.3899,99
3.19,12.11044692993164,4.466594827586207e-05,1.0707,100
3.3,5.87239408493042,4.41271551724138e-05,1.0025,101
3.41,2.7601914405822754,4.3588362068965525e-05,0.7854,102
3.51,5.848727703094482,4.3049568965517245e-05,0.5878,103
3.62,2.606499671936035,4.2510775862068966e-05,0.6271,104
3.73,1.8508281707763672,4.197198275862069e-05,0.6909,105
3.83,15.628884315490723,4.1433189655172414e-05,0.54,106
3.94,2.35294246673584,4.089439655172414e-05,0.5388,107
4.04,2.2551231384277344,4.035560344827586e-05,0.5038,122
4.15,0.5519048571586609,3.981681034482759e-05,0.4478,123
4.26,1.7739251852035522,3.927801724137931e-05,0.4618,124
