epoch,grad_norm,learning_rate,loss,_line
0.1,11.249987602233887,2.25e-06,41.3861,25
0.2,12.614906311035156,4.75e-06,42.1021,26
0.3,11.999772071838379,7.25e-06,41.9334,27
0.4,13.736183166503906,9.750000000000002e-06,40.4605,28
0.5,12.404195785522461,1.225e-05,38.7538,29
0.6,12.622273445129395,1.475e-05,35.4142,30
0.7,15.873271942138672,1.725e-05,34.7743,31
0.8,14.390759468078613,1.9750000000000002e-05,32.2813,32
0.9,15.125238418579102,2.2250000000000002e-05,30.1177,33
1.0,10.945855140686035,2.4750000000000002e-05,26.3855,34
1.09,9.331307411193848,2.725e-05,22.7183,49
1.19,12.512927055358887,2.975e-05,23.0086,50
1.29,14.80860710144043,3.2250000000000005e-05,20.747,51
1.39,16.287965774536133,3.475e-05,21.3827,52
1.49,22.425771713256836,3.7250000000000004e-05,18.9177,53
1.59,26.228971481323242,3.9750000000000004e-05,19.466,54
1.69,28.67526626586914,4.2250000000000004e-05,18.322,55
1.79,33.74018096923828,4.4750000000000004e-05,17.7521,56
1.89,44.32752227783203,4.7249999999999997e-05,16.4108,57
1.99,31.11949920654297,4.975e-05,15.4555,58
2.08,47.770137786865234,4.955533596837945e-05,13.423,73
2.18,54.1124267578125,4.906126482213439e-05,13.3313,74
2.28,56.034820556640625,4.8567193675889336e-05,12.6127,75
2.38,71.92378997802734,4.807312252964427e-05,10.5576,76
2.48,79.0821304321289,4.757905138339921e-05,10.0914,77
2.58,54.69649887084961,4.7084980237154154e-05,9.2633,78
2.68,49.168739318847656,4.659090909090909e-05,8.3304,79
2.78,32.2507209777832,4.6096837944664035e-05,7.3499,80
2.88,21.818056106567383,4.560276679841897e-05,6.9224,81
2.98,9.957321166992188,4.5108695652173916e-05,6.5436,82
3.07,4.969754695892334,4.461462450592885e-05,5.9379,97
3.17,4.188728332519531,4.41205533596838e-05,6.1572,98
3.27,2.9251434803009033,4.3626482213438734e-05,5.8039,99
3.37,3.2469029426574707,4.313241106719368e-05,5.875,100
3.47,3.440006971359253,4.2638339920948615e-05,5.8212,101
3.57,2.799499750137329,4.214426877470356e-05,5.6341,102
3.67,3.029531955718994,4.1650197628458496e-05,5.2981,103
3.77,2.7293615341186523,4.115612648221344e-05,5.5096,104
3.87,2.343721866607666,4.0662055335968377e-05,4.864,105
3.97,2.9721946716308594,4.016798418972332e-05,5.0456,106
4.06,3.0971615314483643,3.9673913043478264e-05,4.89,121
4.16,4.194664001464844,3.917984189723321e-05,4.9678,122
4.26,3.9137890338897705,3.8685770750988145e-05,5.5028,123
4.36,3.6449670791625977,3.819169960474309e-05,5.2411,124
4.46,2.820033073425293,3.7697628458498026e-05,5.7412,125
4.56,3.544882297515869,3.720355731225297e-05,5.2481,126
4.66,3.1190991401672363,3.670948616600791e-05,5.0624,127
4.76,3.436805486679077,3.621541501976285e-05,5.0863,128
4.86,2.8201284408569336,3.572134387351779e-05,4.7987,129
4.96,3.2502973079681396,3.522727272727273e-05,4.366,130
5.05,4.437222957611084,3.473320158102767e-05,4.5354,145
5.15,2.477966785430908,3.423913043478261e-05,4.9995,146
5.25,4.219181537628174,3.374505928853755e-05,4.9825,147
5.35,3.372680187225342,3.325098814229249e-05,4.7122,148
5.45,3.741318702697754,3.275691699604743e-05,4.8598,149
5.55,3.614985704421997,3.2262845849802374e-05,4.9204,150
5.65,4.334786891937256,3.176877470355731e-05,4.6851,151
5.75,3.982477903366089,3.1274703557312255e-05,4.7268,152
5.85,3.5752367973327637,3.078063241106719e-05,4.9288,153
5.95,3.631401538848877,3.0286561264822133e-05,4.6889,154
6.04,3.8708009719848633,2.9792490118577076e-05,4.7608,169
6.14,4.10360050201416,2.9298418972332014e-05,4.8194,170
6.24,3.91095232963562,2.8804347826086957e-05,4.7492,171
6.34,4.487792491912842,2.8310276679841894e-05,4.4913,172
6.44,3.138371467590332,2.7816205533596838e-05,4.7385,173
6.54,3.3335354328155518,2.732213438735178e-05,4.6697,174
6.64,3.5354058742523193,2.6828063241106723e-05,4.6002,175
6.74,3.486389636993408,2.633399209486166e-05,5.0317,176
6.84,3.7555243968963623,2.5839920948616603e-05,4.6512,177
6.94,3.2710540294647217,2.534584980237154e-05,5.389,178
7.03,3.2880654335021973,2.4851778656126484e-05,4.1857,193
7.13,3.9233322143554688,2.4357707509881425e-05,4.857,194
7.23,4.459656238555908,2.3863636363636365e-05,4.585,195
7.33,3.655137538909912,2.3369565217391306e-05,4.4216,196
7.43,3.9184892177581787,2.2875494071146246e-05,5.0889,197
7.53,4.894556045532227,2.2381422924901187e-05,4.6995,198
