epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,51.5551,22
0.1,16.265806198120117,2.25e-06,53.5641,23
0.19,14.084733009338379,4.75e-06,53.7138,24
0.29,16.86771583557129,7.25e-06,53.4548,25
0.38,18.75143814086914,9.750000000000002e-06,50.2935,26
0.48,17.897714614868164,1.225e-05,48.4792,27
0.57,21.37626838684082,1.475e-05,47.002,28
0.67,20.832714080810547,1.725e-05,43.2861,29
0.76,19.351303100585938,1.9750000000000002e-05,36.554,30
0.86,14.642230033874512,2.2250000000000002e-05,32.3142,31
0.95,14.551727294921875,2.4750000000000002e-05,27.8927,32
1.05,12.383039474487305,2.725e-05,24.4079,47
1.14,12.219528198242188,2.975e-05,24.0749,48
1.24,15.795249938964844,3.2250000000000005e-05,22.4056,49
1.33,17.539745330810547,3.475e-05,20.3405,50
1.43,20.856403350830078,3.7250000000000004e-05,19.5696,51
1.53,28.641677856445312,3.9750000000000004e-05,19.318,52
1.62,23.15513801574707,4.2250000000000004e-05,17.4254,53
1.72,41.649295806884766,4.4750000000000004e-05,16.8249,54
1.81,54.0157585144043,4.7249999999999997e-05,16.4285,55
1.91,55.2805290222168,4.975e-05,14.584,56
2.0,64.8487548828125,4.9575471698113206e-05,13.6478,57
2.1,75.93888092041016,4.910377358490566e-05,11.8299,72
2.19,82.1603012084961,4.8632075471698116e-05,10.4018,73
2.29,89.45233154296875,4.8160377358490565e-05,9.1336,74
2.38,91.18408203125,4.768867924528302e-05,7.5398,75
2.48,85.07013702392578,4.721698113207547e-05,6.0206,76
2.57,52.53582763671875,4.6745283018867925e-05,5.3889,77
2.67,43.31388854980469,4.627358490566038e-05,4.0374,78
2.76,25.424663543701172,4.580188679245283e-05,3.4311,79
2.86,11.045862197875977,4.5330188679245284e-05,3.1641,80
2.95,5.923616886138916,4.485849056603774e-05,3.1072,81
3.05,4.121109485626221,4.438679245283019e-05,2.8481,96
3.14,2.7915382385253906,4.3915094339622644e-05,2.6221,97
3.24,1.6616257429122925,4.344339622641509e-05,2.6766,98
3.33,1.797242522239685,4.297169811320755e-05,2.3428,99
3.43,1.6594054698944092,4.25e-05,2.1509,100
3.53,5.168799877166748,4.202830188679245e-05,2.2252,101
3.62,1.6261082887649536,4.155660377358491e-05,2.335,102
3.72,2.8233284950256348,4.108490566037736e-05,1.8826,103
3.81,1.776350736618042,4.061320754716981e-05,1.7904,104
3.91,1.5818074941635132,4.014150943396227e-05,2.1615,105
4.0,3.513957977294922,3.9669811320754715e-05,2.0469,106
4.1,2.483518123626709,3.919811320754717e-05,2.1105,121
4.19,1.3761953115463257,3.8726415094339626e-05,1.8755,122
4.29,2.8953492641448975,3.8254716981132075e-05,2.1335,123
4.38,2.9983761310577393,3.778301886792453e-05,1.8063,124
4.48,1.7988425493240356,3.7311320754716986e-05,1.8265,125
4.57,1.8728879690170288,3.6839622641509434e-05,1.7937,126
4.67,2.454829692840576,3.636792452830189e-05,2.0795,127
4.76,1.750159740447998,3.589622641509434e-05,1.4712,128
4.86,1.8907030820846558,3.5424528301886794e-05,2.0274,129
4.95,2.2234442234039307,3.495283018867925e-05,2.2103,130
5.05,3.682090997695923,3.44811320754717e-05,1.5859,145
5.14,2.358942747116089,3.400943396226415e-05,1.7691,146
5.24,2.2694220542907715,3.353773584905661e-05,1.9449,147
5.33,2.516226291656494,3.306603773584906e-05,1.6165,148
5.43,2.1554393768310547,3.259433962264151e-05,1.9293,149
5.53,2.3108296394348145,3.212264150943397e-05,1.921,150
5.62,1.7109133005142212,3.165094339622642e-05,1.6701,151
5.72,2.2138404846191406,3.117924528301887e-05,2.0426,152
5.81,1.9354424476623535,3.070754716981132e-05,1.7212,153
5.91,1.7281861305236816,3.0235849056603776e-05,1.7853,154
6.0,2.184511423110962,2.976415094339623e-05,1.3086,155
6.1,1.5528444051742554,2.9292452830188684e-05,1.6649,170
6.19,2.4011504650115967,2.8820754716981136e-05,1.8366,171
6.29,3.1370022296905518,2.8349056603773588e-05,1.5344,172
6.38,1.656111478805542,2.787735849056604e-05,1.4061,173
6.48,1.7682610750198364,2.7405660377358495e-05,1.5825,174
6.57,2.219679117202759,2.6933962264150947e-05,1.5157,175
6.67,1.6672269105911255,2.64622641509434e-05,1.9373,176
6.76,1.5913918018341064,2.599056603773585e-05,1.7594,177
6.86,2.8603878021240234,2.5518867924528307e-05,2.0759,178
6.95,2.41879940032959,2.504716981132076e-05,1.9369,179
7.05,1.6750421524047852,2.4575471698113208e-05,1.6179,194
7.14,1.4853471517562866,2.4103773584905663e-05,1.4358,195
7.24,2.50687313079834,2.3632075471698115e-05,1.5004,196
7.33,2.713536262512207,2.3160377358490567e-05,1.7823,197
7.43,1.9676060676574707,2.268867924528302e-05,1.7913,198
7.53,1.539932131767273,2.2216981132075475e-05,1.3238,199
7.62,2.6926982402801514,2.1745283018867927e-05,2.0303,200
7.72,1.5907434225082397,2.127358490566038e-05,1.6351,201
7.81,1.713476538658142,2.080188679245283e-05,1.5944,202
7.91,2.3265721797943115,2.0330188679245286e-05,1.422,203
8.0,3.1705691814422607,1.9858490566037738e-05,1.7331,204
8.1,2.878135919570923,1.938679245283019e-05,1.4232,219
8.19,2.505244493484497,1.8915094339622642e-05,1.6185,220
8.29,1.6066666841506958,1.8443396226415094e-05,1.3925,221
8.38,2.1334352493286133,1.7971698113207546e-05,1.8632,222
8.48,2.1273298263549805,1.75e-05,1.5564,223
8.57,1.7681825160980225,1.7028301886792454e-05,1.6635,224
8.67,2.357732057571411,1.6556603773584906e-05,1.7462,225
8.76,2.432258367538452,1.6084905660377358e-05,1.5259,226
8.86,2.74764347076416,1.561320754716981e-05,1.8091,227
8.95,1.9779455661773682,1.5141509433962264e-05,1.7231,228
9.05,1.7628703117370605,1.4669811320754717e-05,1.0749,243
9.14,2.202415943145752,1.419811320754717e-05,1.539,244
9.24,2.1475048065185547,1.3726415094339623e-05,1.5601,245
9.33,2.3277809619903564,1.3254716981132075e-05,1.3628,246
9.43,2.5452938079833984,1.2783018867924529e-05,1.5802,247
9.53,2.6866018772125244,1.2311320754716981e-05,1.4642,248
9.62,2.3730685710906982,1.1839622641509435e-05,1.673,249
9.72,2.475205183029175,1.1367924528301887e-05,1.6056,250
9.81,1.9233263731002808,1.089622641509434e-05,1.3722,251
9.91,1.9644441604614258,1.0424528301886793e-05,1.539,252
10.0,3.0532610416412354,9.952830188679246e-06,1.5845,253
10.1,3.1134607791900635,9.481132075471698e-06,1.5846,268
