epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,43.4797,20
0.11,12.599689483642578,2.25e-06,46.5804,21
0.22,12.992867469787598,4.75e-06,45.0748,22
0.34,12.451210021972656,7.25e-06,42.9749,23
0.45,11.049108505249023,9.750000000000002e-06,44.0599,24
0.56,12.467933654785156,1.225e-05,40.4792,25
0.67,14.542815208435059,1.475e-05,38.8312,26
0.78,14.590156555175781,1.725e-05,36.6447,27
0.9,13.710498809814453,1.9750000000000002e-05,33.74,28
1.0,3.6324312686920166,2.2250000000000002e-05,30.1591,29
1.11,12.251435279846191,2.4750000000000002e-05,27.9898,44
1.22,11.043478965759277,2.725e-05,25.8441,45
1.34,14.78884220123291,2.975e-05,22.7515,46
1.45,12.668322563171387,3.2250000000000005e-05,21.6112,47
1.56,19.74371910095215,3.475e-05,22.4342,48
1.67,22.277332305908203,3.7250000000000004e-05,19.7352,49
1.78,25.17430877685547,3.9750000000000004e-05,20.3342,50
1.9,30.978546142578125,4.2250000000000004e-05,20.0592,51
2.0,13.749526977539062,4.4750000000000004e-05,16.5022,52
2.11,42.13589096069336,4.7249999999999997e-05,17.0895,67
2.22,47.413665771484375,4.975e-05,16.3897,68
2.34,55.767635345458984,4.9488636363636365e-05,14.7466,69
2.45,69.15823364257812,4.8920454545454545e-05,13.5216,70
2.56,66.4990463256836,4.835227272727273e-05,11.9979,71
2.67,82.73172760009766,4.778409090909091e-05,11.7385,72
2.78,81.95777893066406,4.721590909090909e-05,10.2434,73
2.9,75.14422607421875,4.664772727272727e-05,8.9053,74
3.0,18.479543685913086,4.607954545454546e-05,7.2898,75
3.11,30.354198455810547,4.551136363636364e-05,7.3503,90
3.22,18.047882080078125,4.494318181818182e-05,5.9131,91
3.34,9.793743133544922,4.4375e-05,6.1634,92
3.45,6.256661415100098,4.380681818181818e-05,5.1961,93
3.56,5.681430339813232,4.323863636363636e-05,5.1412,94
3.67,3.8346054553985596,4.267045454545455e-05,4.9888,95
3.78,2.939147710800171,4.210227272727273e-05,4.9416,96
3.9,3.386690378189087,4.153409090909091e-05,4.6442,97
4.0,1.2144585847854614,4.09659090909091e-05,4.5538,98
4.11,2.3467893600463867,4.039772727272728e-05,4.3614,113
4.22,2.402679204940796,3.982954545454546e-05,4.4912,114
4.34,2.3923845291137695,3.926136363636364e-05,4.1134,115
4.45,3.4570209980010986,3.869318181818182e-05,4.1399,116
4.56,2.9855058193206787,3.8125e-05,4.8327,117
4.67,3.3226428031921387,3.755681818181818e-05,4.7754,118
4.78,3.601400375366211,3.6988636363636366e-05,4.7699,119
4.9,2.435490131378174,3.6420454545454546e-05,3.3481,120
5.0,1.2324637174606323,3.5852272727272726e-05,3.2087,121
5.11,2.5547516345977783,3.5284090909090914e-05,3.5501,136
5.22,3.2361743450164795,3.4715909090909094e-05,4.2375,137
5.34,3.2040276527404785,3.4147727272727274e-05,3.6021,138
5.45,3.0639214515686035,3.357954545454546e-05,4.1218,139
5.56,2.814845323562622,3.301136363636364e-05,4.3849,140
5.67,3.023378372192383,3.2443181818181815e-05,3.8082,141
5.78,3.3925936222076416,3.1875e-05,3.459,142
5.9,3.853372812271118,3.130681818181818e-05,3.6953,143
6.0,1.2583744525909424,3.073863636363636e-05,3.6156,144
6.11,2.461197853088379,3.0170454545454547e-05,4.1993,159
6.22,2.3937714099884033,2.9602272727272727e-05,3.3695,160
6.34,3.401238203048706,2.903409090909091e-05,3.0616,161
6.45,2.7081735134124756,2.8465909090909094e-05,3.8577,162
6.56,3.113577127456665,2.7897727272727275e-05,4.0575,163
6.67,2.8229384422302246,2.732954545454546e-05,3.2771,164
6.78,3.0856435298919678,2.676136363636364e-05,3.3082,165
6.9,3.2181665897369385,2.6193181818181816e-05,3.7972,166
7.0,1.943243145942688,2.5625e-05,3.1844,167
7.11,2.5512616634368896,2.505681818181818e-05,3.6558,182
7.22,2.98964524269104,2.4488636363636363e-05,3.7521,183
7.34,3.729654312133789,2.3920454545454547e-05,3.7095,184
7.45,3.4539904594421387,2.3352272727272728e-05,3.565,185
7.56,2.9571352005004883,2.278409090909091e-05,3.4451,186
7.67,3.9701626300811768,2.221590909090909e-05,3.603,187
7.78,3.40995717048645,2.1647727272727275e-05,3.0357,188
7.9,3.2482690811157227,2.1079545454545456e-05,3.3632,189
8.0,1.3416048288345337,2.0511363636363636e-05,3.3685,190
8.11,3.026500940322876,1.994318181818182e-05,3.4836,205
8.22,3.9476945400238037,1.9375e-05,3.388,206
8.34,3.3098256587982178,1.8806818181818184e-05,3.8016,207
8.45,4.265635967254639,1.8238636363636364e-05,3.2508,208
8.56,2.780100107192993,1.7670454545454544e-05,3.2949,209
8.67,5.007071018218994,1.7102272727272728e-05,3.7188,210
8.78,3.1176910400390625,1.6534090909090912e-05,4.2955,211
8.9,2.988323926925659,1.5965909090909092e-05,2.9675,212
9.0,2.470263957977295,1.5397727272727276e-05,3.4305,213
9.11,3.4422662258148193,1.4829545454545454e-05,2.9884,228
9.22,3.400604009628296,1.4261363636363637e-05,3.2891,229
9.34,3.2081830501556396,1.3693181818181819e-05,3.4944,230
9.45,3.092108964920044,1.3125e-05,3.0977,231
9.56,4.138756275177002,1.2556818181818184e-05,3.3737,232
9.67,2.9877498149871826,1.1988636363636365e-05,3.557,233
9.78,3.0676510334014893,1.1420454545454547e-05,3.3065,234
9.9,3.20906925201416,1.0852272727272727e-05,3.2478,235
10.0,1.3195418119430542,1.028409090909091e-05,3.3104,236
10.11,3.232158660888672,9.715909090909091e-06,3.5245,251
10.22,3.6281611919403076,9.147727272727273e-06,3.4296,252
10.34,3.359515428543091,8.579545454545455e-06,3.0834,253
10.45,3.1254770755767822,8.011363636363637e-06,3.5389,254
10.56,3.1704564094543457,7.443181818181818e-06,3.4049,255
10.67,3.312873125076294,6.875000000000001e-06,3.2204,256
10.78,3.4522242546081543,6.306818181818181e-06,2.9455,257
10.9,3.641798973083496,5.738636363636364e-06,3.548,258
11.0,1.124239206314087,5.1704545454545455e-06,3.1406,259
11.11,3.8825414180755615,4.6022727272727275e-06,3.4118,274
11.22,3.0239202976226807,4.0340909090909095e-06,3.5419,275
11.34,4.991079807281494,3.465909090909091e-06,3.7027,276
11.45,3.0632822513580322,2.8977272727272727e-06,3.0485,277
11.56,3.0886709690093994,2.3295454545454547e-06,3.1056,278
11.67,3.164153575897217,1.7613636363636363e-06,3.7503,279
11.78,2.936612844467163,1.1931818181818183e-06,3.1915,280
11.9,3.037532329559326,6.25e-07,3.3998,281
12.0,2.1234006881713867,5.6818181818181815e-08,2.5274,282
