epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,57.6341,34
0.11,,2.25e-06,60.461,35
0.21,618.5350341796875,4.75e-06,59.9351,36
0.32,740.663818359375,7.25e-06,53.4802,37
0.43,535.4068603515625,9.750000000000002e-06,44.1924,38
0.53,358.21588134765625,1.225e-05,32.4192,39
0.64,432.4656677246094,1.475e-05,25.4021,40
0.75,777.8695068359375,1.725e-05,18.8175,41
0.85,423.37750244140625,1.9750000000000002e-05,7.7111,42
0.96,23.982460021972656,2.2250000000000002e-05,1.2751,43
1.06,22.82703399658203,2.4750000000000002e-05,0.7162,54
1.17,17.89554214477539,2.725e-05,0.605,55
1.28,9.573974609375,2.975e-05,0.5499,56
1.38,26.134031295776367,3.2250000000000005e-05,0.4961,57
1.49,25.686647415161133,3.475e-05,0.3873,58
1.6,8.299779891967773,3.7250000000000004e-05,0.3765,59
1.7,8.448187828063965,3.9750000000000004e-05,0.4397,60
1.81,28.333415985107422,4.2250000000000004e-05,0.3237,61
1.92,13.620802879333496,4.4750000000000004e-05,0.3362,62
2.02,4.588735580444336,4.7249999999999997e-05,0.3442,73
2.13,10.68615436553955,4.975e-05,0.2932,74
2.23,9.619909286499023,4.951508620689656e-05,0.4004,75
2.34,16.982803344726562,4.897629310344828e-05,0.3568,76
2.45,32.89031982421875,4.8437500000000005e-05,0.2602,77
2.55,11.128058433532715,4.7898706896551726e-05,0.4488,78
2.66,5.435271263122559,4.735991379310345e-05,0.377,79
2.77,7.814339637756348,4.6821120689655174e-05,0.3048,80
2.87,12.39426326751709,4.6282327586206894e-05,0.4984,81
2.98,9.96706771850586,4.574353448275862e-05,0.2911,82
3.09,9.974834442138672,4.520474137931034e-05,0.3256,93
3.19,17.118961334228516,4.466594827586207e-05,0.2675,94
3.3,5.213964939117432,4.41271551724138e-05,0.3696,95
3.41,6.726025581359863,4.3588362068965525e-05,0.2671,96
3.51,5.749046802520752,4.3049568965517245e-05,0.1674,97
3.62,5.032865047454834,4.2510775862068966e-05,0.2671,98
3.73,7.943727493286133,4.197198275862069e-05,0.346,99
3.83,5.985785961151123,4.1433189655172414e-05,0.2229,100
3.94,7.6650471687316895,4.089439655172414e-05,0.2226,101
4.04,7.395986080169678,4.035560344827586e-05,0.1878,112
4.15,6.336705207824707,3.981681034482759e-05,0.1287,113
4.26,39.78358840942383,3.927801724137931e-05,0.1488,114
4.36,7.507861614227295,3.873922413793104e-05,0.2063,115
4.47,14.410616874694824,3.820043103448276e-05,0.3379,116
4.58,6.497859477996826,3.7661637931034485e-05,0.2089,117
4.68,9.449006080627441,3.7122844827586206e-05,0.1918,118
4.79,5.030129909515381,3.658405172413793e-05,0.1892,119
4.9,11.533358573913574,3.604525862068966e-05,0.197,120
5.0,6.738753318786621,3.550646551724138e-05,0.151,121
5.11,9.254594802856445,3.496767241379311e-05,0.1705,132
5.21,9.694504737854004,3.442887931034483e-05,0.1469,133
5.32,6.260932922363281,3.389008620689656e-05,0.3544,134
5.43,8.891847610473633,3.335129310344828e-05,0.2874,135
5.53,7.776078701019287,3.2812500000000005e-05,0.1739,136
5.64,9.444409370422363,3.2273706896551725e-05,0.3494,137
5.75,6.9331278800964355,3.1734913793103446e-05,0.1078,138
5.85,11.267247200012207,3.1196120689655173e-05,0.1444,139
5.96,12.42522144317627,3.0657327586206894e-05,0.1604,140
6.06,6.404295921325684,3.011853448275862e-05,0.1743,151
6.17,11.194076538085938,2.9579741379310345e-05,0.1018,152
6.28,6.73499870300293,2.9040948275862066e-05,0.183,153
6.38,2.683396577835083,2.8502155172413797e-05,0.1446,154
6.49,4.357357025146484,2.796336206896552e-05,0.1812,155
6.6,8.147974014282227,2.7424568965517245e-05,0.1796,156
6.7,21.457502365112305,2.688577586206897e-05,0.2788,157
6.81,4.441442966461182,2.6346982758620693e-05,0.1391,158
6.92,4.249237537384033,2.5808189655172417e-05,0.1525,159
7.02,2.403221368789673,2.526939655172414e-05,0.2509,170
7.13,33.43388748168945,2.473060344827586e-05,0.3923,171
7.23,10.88764762878418,2.4191810344827586e-05,0.1937,172
7.34,11.002985954284668,2.365301724137931e-05,0.1931,173
7.45,5.874749660491943,2.3114224137931034e-05,0.0675,174
7.55,8.950636863708496,2.257543103448276e-05,0.1561,175
7.66,6.7122039794921875,2.2036637931034485e-05,0.1714,176
7.77,4.804779052734375,2.149784482758621e-05,0.0668,177
7.87,13.266938209533691,2.0959051724137933e-05,0.166,178
7.98,13.024473190307617,2.0420258620689657e-05,0.1466,179
8.09,5.147857666015625,1.988146551724138e-05,0.3264,190
8.19,2.8016488552093506,1.93426724137931e-05,0.1771,191
8.3,5.4085373878479,1.880387931034483e-05,0.0836,192
8.41,3.20707106590271,1.8265086206896553e-05,0.1441,193
8.51,6.24315881729126,1.7726293103448277e-05,0.1976,194
8.62,3.019453763961792,1.71875e-05,0.2074,195
8.73,17.300111770629883,1.6648706896551725e-05,0.2571,196
8.83,4.9296064376831055,1.610991379310345e-05,0.0973,197
8.94,5.990881443023682,1.5571120689655173e-05,0.1486,198
9.04,8.365827560424805,1.5032327586206899e-05,0.1728,209
9.15,8.39802360534668,1.4493534482758623e-05,0.1403,210
9.26,2.869647979736328,1.3954741379310347e-05,0.1583,211
9.36,7.964768886566162,1.3415948275862069e-05,0.1158,212
9.47,9.514349937438965,1.2877155172413793e-05,0.3312,213
9.58,5.308431625366211,1.2338362068965517e-05,0.2415,214
9.68,3.36905574798584,1.1799568965517243e-05,0.0643,215
9.79,5.85310173034668,1.1260775862068967e-05,0.0805,216
9.9,4.972965717315674,1.072198275862069e-05,0.1807,217
10.0,2.638850450515747,1.0183189655172415e-05,0.0808,218
10.11,4.531054973602295,9.644396551724139e-06,0.3388,229
10.21,4.886472225189209,9.105603448275863e-06,0.2152,230
10.32,6.829380035400391,8.566810344827587e-06,0.0637,231
10.43,14.483914375305176,8.028017241379311e-06,0.0639,232
10.53,10.795117378234863,7.489224137931035e-06,0.1778,233
10.64,9.853044509887695,6.950431034482759e-06,0.0853,234
10.75,13.421810150146484,6.411637931034484e-06,0.2882,235
10.85,4.845663547515869,5.872844827586208e-06,0.1777,236
10.96,3.7804369926452637,5.334051724137931e-06,0.0814,237
11.06,5.819796085357666,4.795258620689656e-06,0.185,248
11.17,4.676451683044434,4.256465517241379e-06,0.1607,249
11.28,8.785651206970215,3.717672413793104e-06,0.2381,250
11.38,4.772397518157959,3.1788793103448274e-06,0.185,251
11.49,5.833155632019043,2.640086206896552e-06,0.0938,252
11.6,7.86806058883667,2.101293103448276e-06,0.2104,253
11.7,3.3584792613983154,1.5625e-06,0.1286,254
11.81,2.8898212909698486,1.023706896551724e-06,0.166,255
11.92,3.3910675048828125,4.849137931034483e-07,0.0898,256
