epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,51.5551,24
0.1,,2.25e-06,53.5674,25
0.19,406.5140380859375,4.75e-06,53.4723,26
0.29,489.6733703613281,7.25e-06,48.916,27
0.38,488.5937194824219,9.750000000000002e-06,39.0347,28
0.48,300.57525634765625,1.225e-05,29.6359,29
0.57,361.4490661621094,1.475e-05,23.9488,30
0.67,509.0214538574219,1.725e-05,17.7307,31
0.76,468.6941833496094,1.9750000000000002e-05,9.1445,32
0.86,37.18452072143555,2.2250000000000002e-05,3.9913,33
0.95,22.240371704101562,2.4750000000000002e-05,3.0483,34
1.05,26.660602569580078,2.725e-05,2.5865,45
1.14,23.211223602294922,2.975e-05,2.3673,46
1.24,24.604719161987305,3.2250000000000005e-05,2.0298,47
1.33,26.199581146240234,3.475e-05,2.0283,48
1.43,41.626121520996094,3.7250000000000004e-05,1.7771,49
1.53,21.81250762939453,3.9750000000000004e-05,1.7906,50
1.62,24.421615600585938,4.2250000000000004e-05,1.5839,51
1.72,32.236690521240234,4.4750000000000004e-05,1.7022,52
1.81,18.430561065673828,4.7249999999999997e-05,1.9217,53
1.91,24.447673797607422,4.975e-05,1.6587,54
2.0,16.02787208557129,4.9575471698113206e-05,1.5461,55
2.1,26.726804733276367,4.910377358490566e-05,1.3862,66
2.19,17.11566734313965,4.8632075471698116e-05,1.5398,67
2.29,28.060468673706055,4.8160377358490565e-05,1.2792,68
2.38,16.8234806060791,4.768867924528302e-05,0.998,69
2.48,18.66604232788086,4.721698113207547e-05,1.1874,70
2.57,20.690202713012695,4.6745283018867925e-05,1.7285,71
2.67,19.886444091796875,4.627358490566038e-05,1.2944,72
2.76,20.730112075805664,4.580188679245283e-05,1.2409,73
2.86,15.691704750061035,4.5330188679245284e-05,1.2894,74
2.95,33.27986526489258,4.485849056603774e-05,1.4916,75
3.05,20.491714477539062,4.438679245283019e-05,1.2207,86
3.14,19.25373077392578,4.3915094339622644e-05,1.2057,87
3.24,16.25737953186035,4.344339622641509e-05,1.3083,88
3.33,19.896148681640625,4.297169811320755e-05,1.0899,89
3.43,17.634775161743164,4.25e-05,0.9616,90
3.53,24.394622802734375,4.202830188679245e-05,1.0345,91
3.62,20.92307472229004,4.155660377358491e-05,1.1769,92
3.72,12.967248916625977,4.108490566037736e-05,0.8512,93
3.81,18.63299560546875,4.061320754716981e-05,0.7811,94
3.91,20.898386001586914,4.014150943396227e-05,1.064,95
4.0,22.55260467529297,3.9669811320754715e-05,1.0922,96
4.1,18.58149528503418,3.919811320754717e-05,0.9981,107
4.19,15.248737335205078,3.8726415094339626e-05,0.7894,108
4.29,13.89352798461914,3.8254716981132075e-05,1.1109,109
4.38,20.990259170532227,3.778301886792453e-05,0.7538,110
4.48,22.852561950683594,3.7311320754716986e-05,0.8736,111
4.57,35.30741500854492,3.6839622641509434e-05,0.8227,112
4.67,19.898969650268555,3.636792452830189e-05,1.032,113
4.76,15.318613052368164,3.589622641509434e-05,0.5921,114
4.86,31.12472152709961,3.5424528301886794e-05,1.063,115
4.95,16.98427963256836,3.495283018867925e-05,1.1911,116
5.05,18.938257217407227,3.44811320754717e-05,0.58,127
5.14,18.700611114501953,3.400943396226415e-05,0.8045,128
5.24,24.00227165222168,3.353773584905661e-05,0.9333,129
5.33,24.242115020751953,3.306603773584906e-05,0.6083,130
5.43,14.326171875,3.259433962264151e-05,0.8922,131
5.53,17.846731185913086,3.212264150943397e-05,0.969,132
5.62,12.11497974395752,3.165094339622642e-05,0.6594,133
5.72,22.34539222717285,3.117924528301887e-05,1.1203,134
5.81,13.902843475341797,3.070754716981132e-05,0.771,135
5.91,13.079374313354492,3.0235849056603776e-05,0.8026,136
6.0,15.275442123413086,2.976415094339623e-05,0.386,137
6.1,14.734720230102539,2.9292452830188684e-05,0.6382,148
6.19,19.267044067382812,2.8820754716981136e-05,0.8023,149
6.29,26.150423049926758,2.8349056603773588e-05,0.5222,150
6.38,12.366167068481445,2.787735849056604e-05,0.4618,151
6.48,13.850456237792969,2.7405660377358495e-05,0.6893,152
6.57,18.664731979370117,2.6933962264150947e-05,0.5741,153
6.67,11.158628463745117,2.64622641509434e-05,0.9582,154
6.76,10.49301815032959,2.599056603773585e-05,0.8146,155
6.86,20.16456413269043,2.5518867924528307e-05,1.0543,156
6.95,15.337993621826172,2.504716981132076e-05,0.9107,157
7.05,9.488566398620605,2.4575471698113208e-05,0.5542,168
7.14,6.958440780639648,2.4103773584905663e-05,0.4885,169
7.24,11.854071617126465,2.3632075471698115e-05,0.5096,170
7.33,25.903759002685547,2.3160377358490567e-05,0.8083,171
7.43,15.301088333129883,2.268867924528302e-05,0.7778,172
7.53,11.294681549072266,2.2216981132075475e-05,0.3631,173
7.62,17.49125862121582,2.1745283018867927e-05,1.0219,174
7.72,11.979425430297852,2.127358490566038e-05,0.6823,175
7.81,16.101160049438477,2.080188679245283e-05,0.6876,176
7.91,19.45942497253418,2.0330188679245286e-05,0.4873,177
8.0,16.618066787719727,1.9858490566037738e-05,0.7492,178
8.1,8.086861610412598,1.938679245283019e-05,0.4155,189
8.19,12.497835159301758,1.8915094339622642e-05,0.6294,190
8.29,32.13162612915039,1.8443396226415094e-05,0.4121,191
8.38,57.39423751831055,1.7971698113207546e-05,0.8255,192
8.48,13.85805606842041,1.75e-05,0.6387,193
8.57,19.74371337890625,1.7028301886792454e-05,0.7111,194
8.67,12.061670303344727,1.6556603773584906e-05,0.8106,195
8.76,20.585609436035156,1.6084905660377358e-05,0.5533,196
8.86,6.2177910804748535,1.561320754716981e-05,0.8419,197
8.95,10.526493072509766,1.5141509433962264e-05,0.7613,198
9.05,6.4460883140563965,1.4669811320754717e-05,0.2316,209
9.14,11.746414184570312,1.419811320754717e-05,0.6666,210
9.24,4.862539291381836,1.3726415094339623e-05,0.5848,211
9.33,8.680892944335938,1.3254716981132075e-05,0.4105,212
9.43,23.568431854248047,1.2783018867924529e-05,0.613,213
9.53,11.429564476013184,1.2311320754716981e-05,0.4063,214
9.62,9.594525337219238,1.1839622641509435e-05,0.7287,215
9.72,11.74474048614502,1.1367924528301887e-05,0.6778,216
9.81,12.965852737426758,1.089622641509434e-05,0.4348,217
9.91,12.56120777130127,1.0424528301886793e-05,0.5717,218
10.0,11.88957405090332,9.952830188679246e-06,0.6948,219
10.1,19.879398345947266,9.481132075471698e-06,0.5985,230
10.19,9.47784423828125,9.00943396226415e-06,1.1637,231
10.29,7.726181507110596,8.537735849056604e-06,0.4412,232
10.38,12.830313682556152,8.066037735849056e-06,0.441,233
10.48,14.978546142578125,7.594339622641509e-06,0.4746,234
10.57,20.443864822387695,7.122641509433962e-06,0.3777,235
10.67,14.637327194213867,6.650943396226416e-06,0.4091,236
10.76,8.931312561035156,6.179245283018869e-06,0.4309,237
10.86,16.491926193237305,5.7075471698113215e-06,0.8177,238
10.95,18.36194610595703,5.235849056603774e-06,0.4817,239
11.05,15.820998191833496,4.764150943396227e-06,0.7097,250
11.14,7.448753356933594,4.292452830188679e-06,0.6574,251
11.24,19.055381774902344,3.820754716981132e-06,0.6899,252
11.33,4.049398422241211,3.349056603773585e-06,0.3946,253
11.43,17.0189208984375,2.877358490566038e-06,0.5845,254
11.53,22.550878524780273,2.405660377358491e-06,0.6211,255
11.62,9.78728199005127,1.9339622641509433e-06,0.5804,256
11.72,16.896188735961914,1.4622641509433962e-06,0.7145,257
11.81,18.47014045715332,9.90566037735849e-07,0.9633,258
11.91,4.178743362426758,5.188679245283019e-07,0.4707,259
12.0,16.031415939331055,4.716981132075472e-08,0.3511,260
