epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,43.4797,24
0.11,,2.25e-06,46.5843,25
0.22,351.765625,4.75e-06,44.7245,26
0.34,357.5165100097656,7.25e-06,39.7732,27
0.45,294.0782470703125,9.750000000000002e-06,36.2167,28
0.56,242.35488891601562,1.225e-05,28.2222,29
0.67,312.50927734375,1.475e-05,23.3001,30
0.78,430.3768310546875,1.725e-05,18.2868,31
0.9,375.23822021484375,1.9750000000000002e-05,12.2711,32
1.0,18.572505950927734,2.2250000000000002e-05,6.0437,33
1.11,42.63649368286133,2.4750000000000002e-05,5.4826,44
1.22,35.156455993652344,2.725e-05,4.4177,45
1.34,51.08144760131836,2.975e-05,4.6984,46
1.45,49.02461242675781,3.2250000000000005e-05,3.8364,47
1.56,36.235599517822266,3.475e-05,4.0019,48
1.67,44.8906364440918,3.7250000000000004e-05,3.5694,49
1.78,39.08390808105469,3.9750000000000004e-05,3.9332,50
1.9,32.338253021240234,4.2250000000000004e-05,4.1032,51
2.0,10.88945484161377,4.4750000000000004e-05,3.5105,52
2.11,33.95278549194336,4.7249999999999997e-05,2.91,63
2.22,38.18197250366211,4.975e-05,3.7195,64
2.34,31.894506454467773,4.9488636363636365e-05,3.4878,65
2.45,37.92274475097656,4.8920454545454545e-05,3.0878,66
2.56,32.948204040527344,4.835227272727273e-05,3.0456,67
2.67,24.45062828063965,4.778409090909091e-05,3.3699,68
2.78,36.61564636230469,4.721590909090909e-05,3.2145,69
2.9,27.92334747314453,4.664772727272727e-05,3.2349,70
3.0,18.4339542388916,4.607954545454546e-05,2.8059,71
3.11,39.19353485107422,4.551136363636364e-05,3.1582,82
3.22,32.97246551513672,4.494318181818182e-05,2.3148,83
3.34,33.03982162475586,4.4375e-05,2.792,84
3.45,29.638513565063477,4.380681818181818e-05,2.1708,85
3.56,36.8596076965332,4.323863636363636e-05,2.3582,86
3.67,32.497920989990234,4.267045454545455e-05,2.5357,87
3.78,29.802959442138672,4.210227272727273e-05,2.5628,88
3.9,36.17544937133789,4.153409090909091e-05,2.421,89
4.0,13.035139083862305,4.09659090909091e-05,2.6669,90
4.11,27.332088470458984,4.039772727272728e-05,2.2281,101
4.22,26.242671966552734,3.982954545454546e-05,2.4331,102
4.34,27.302812576293945,3.926136363636364e-05,2.0899,103
4.45,32.159942626953125,3.869318181818182e-05,2.1125,104
4.56,30.727500915527344,3.8125e-05,2.909,105
4.67,30.207048416137695,3.755681818181818e-05,2.659,106
4.78,42.05156707763672,3.6988636363636366e-05,2.8344,107
4.9,24.859392166137695,3.6420454545454546e-05,1.565,108
5.0,16.64777946472168,3.5852272727272726e-05,1.6543,109
5.11,23.128620147705078,3.5284090909090914e-05,1.5679,120
5.22,27.96346664428711,3.4715909090909094e-05,2.2381,121
5.34,30.51999855041504,3.4147727272727274e-05,1.7699,122
5.45,25.413436889648438,3.357954545454546e-05,2.2545,123
5.56,34.71696853637695,3.301136363636364e-05,2.3922,124
5.67,26.29236602783203,3.2443181818181815e-05,1.9054,125
5.78,26.784996032714844,3.1875e-05,1.5482,126
5.9,37.32919692993164,3.130681818181818e-05,1.7928,127
6.0,12.469545364379883,3.073863636363636e-05,1.926,128
6.11,20.76932716369629,3.0170454545454547e-05,2.1815,139
6.22,22.153785705566406,2.9602272727272727e-05,1.4776,140
6.34,28.974842071533203,2.903409090909091e-05,1.1235,141
6.45,31.037525177001953,2.8465909090909094e-05,1.9755,142
6.56,31.670921325683594,2.7897727272727275e-05,2.0532,143
6.67,22.023252487182617,2.732954545454546e-05,1.4633,144
6.78,25.32621955871582,2.676136363636364e-05,1.4807,145
6.9,28.78153419494629,2.6193181818181816e-05,1.8765,146
7.0,15.573554039001465,2.5625e-05,1.3521,147
7.11,23.56705093383789,2.505681818181818e-05,1.758,158
7.22,21.97067642211914,2.4488636363636363e-05,1.8165,159
7.34,36.30784606933594,2.3920454545454547e-05,1.7555,160
7.45,31.287376403808594,2.3352272727272728e-05,1.5299,161
7.56,21.240224838256836,2.278409090909091e-05,1.3093,162
7.67,33.551063537597656,2.221590909090909e-05,1.577,163
7.78,28.912839889526367,2.1647727272727275e-05,1.1305,164
7.9,28.251615524291992,2.1079545454545456e-05,1.4001,165
8.0,11.86673355102539,2.0511363636363636e-05,1.6175,166
8.11,22.0344295501709,1.994318181818182e-05,1.6371,177
8.22,32.377742767333984,1.9375e-05,1.3255,178
8.34,26.168432235717773,1.8806818181818184e-05,1.7482,179
8.45,18.049182891845703,1.8238636363636364e-05,1.2259,180
8.56,19.765459060668945,1.7670454545454544e-05,1.3755,181
8.67,44.1656379699707,1.7102272727272728e-05,1.6871,182
8.78,21.610849380493164,1.6534090909090912e-05,2.1732,183
8.9,21.8258056640625,1.5965909090909092e-05,1.0962,184
9.0,20.194374084472656,1.5397727272727276e-05,1.5349,185
9.11,19.552745819091797,1.4829545454545454e-05,1.0838,196
9.22,26.290037155151367,1.4261363636363637e-05,1.0803,197
9.34,26.762277603149414,1.3693181818181819e-05,1.447,198
9.45,26.810243606567383,1.3125e-05,1.1929,199
9.56,32.95867919921875,1.2556818181818184e-05,1.3138,200
9.67,26.30889129638672,1.1988636363636365e-05,1.5407,201
9.78,22.40761375427246,1.1420454545454547e-05,1.227,202
9.9,28.120019912719727,1.0852272727272727e-05,1.3646,203
10.0,14.849501609802246,1.028409090909091e-05,1.442,204
10.11,30.519025802612305,9.715909090909091e-06,1.5421,215
10.22,20.9346923828125,9.147727272727273e-06,1.3236,216
10.34,13.330459594726562,8.579545454545455e-06,0.9698,217
10.45,32.980777740478516,8.011363636363637e-06,1.535,218
10.56,16.460840225219727,7.443181818181818e-06,1.3691,219
10.67,21.653968811035156,6.875000000000001e-06,1.2759,220
10.78,22.14396095275879,6.306818181818181e-06,0.8653,221
10.9,24.0932559967041,5.738636363636364e-06,1.5053,222
11.0,13.00129222869873,5.1704545454545455e-06,1.2829,223
11.11,34.56908416748047,4.6022727272727275e-06,1.3395,234
11.22,18.191226959228516,4.0340909090909095e-06,1.5135,235
11.34,43.04362487792969,3.465909090909091e-06,1.5458,236
11.45,23.79503631591797,2.8977272727272727e-06,1.0725,237
11.56,23.374441146850586,2.3295454545454547e-06,1.0681,238
11.67,27.043306350708008,1.7613636363636363e-06,1.7628,239
11.78,20.451444625854492,1.1931818181818183e-06,1.0926,240
11.9,13.05925464630127,6.25e-07,1.3927,241
12.0,9.935934066772461,5.6818181818181815e-08,0.6506,242
