epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,57.6341,34
0.11,3.576777935028076,4.4999999999999996e-05,60.4504,35
0.21,3.4891397953033447,9.5e-05,60.3181,36
0.32,3.8964157104492188,0.000145,60.4545,37
0.43,4.374029636383057,0.00019500000000000002,61.6557,38
0.53,4.309488773345947,0.000245,57.7611,39
0.64,4.872232913970947,0.000295,55.2961,40
0.75,6.110934257507324,0.000345,53.0854,41
0.85,6.09373664855957,0.000395,49.1539,42
0.96,4.903661251068115,0.00044500000000000003,45.6026,43
1.06,3.412810802459717,0.000495,39.463,58
1.17,2.771836996078491,0.000545,35.7617,59
1.28,2.261293411254883,0.0005949999999999999,32.0776,60
1.38,1.5383477210998535,0.0006450000000000001,31.0188,61
1.49,1.453633189201355,0.000695,28.0842,62
1.6,2.3313684463500977,0.000745,27.1048,63
1.7,3.4927186965942383,0.000795,26.2219,64
1.81,4.330870151519775,0.0008449999999999999,24.6992,65
1.92,5.460277557373047,0.0008950000000000001,23.3122,66
2.02,8.264745712280273,0.000945,22.9062,81
2.13,10.091815948486328,0.000995,22.4228,82
2.23,11.455268859863281,0.0009903017241379311,22.243,83
2.34,14.61307430267334,0.0009795258620689654,20.8729,84
2.45,19.294212341308594,0.00096875,19.7619,85
2.55,23.281715393066406,0.0009579741379310345,18.9477,86
2.66,25.603946685791016,0.000947198275862069,17.9545,87
2.77,28.985212326049805,0.0009364224137931034,16.078,88
2.87,32.10750198364258,0.000925646551724138,15.2082,89
2.98,41.237571716308594,0.0009148706896551724,13.5022,90
3.09,45.20798110961914,0.0009040948275862068,11.0047,105
3.19,48.47785949707031,0.0008933189655172414,10.0873,106
3.3,49.23080062866211,0.0008825431034482759,8.2022,107
3.41,44.73554611206055,0.0008717672413793104,6.4199,108
3.51,38.60960388183594,0.0008609913793103449,4.6153,109
3.62,30.25388526916504,0.0008502155172413794,3.4594,110
3.73,17.149566650390625,0.0008394396551724138,2.5988,111
3.83,9.137879371643066,0.0008286637931034484,1.73,112
3.94,4.265041351318359,0.0008178879310344828,1.388,113
4.04,1.9834551811218262,0.0008071120689655172,1.1187,128
4.15,1.078972339630127,0.0007963362068965517,0.8915,129
4.26,0.8371685147285461,0.0007855603448275862,0.8149,130
4.36,0.4442906975746155,0.0007747844827586207,0.8079,131
4.47,0.23252205550670624,0.0007640086206896551,0.854,132
4.58,0.22583001852035522,0.0007532327586206897,0.7517,133
4.68,0.2078784853219986,0.0007424568965517241,0.6615,134
4.79,0.34993600845336914,0.0007316810344827586,0.6363,135
4.9,0.1687920242547989,0.0007209051724137932,0.6571,136
5.0,0.29009121656417847,0.0007101293103448276,0.5644,137
5.11,0.47244152426719666,0.0006993534482758621,0.6202,152
5.21,0.7428752779960632,0.0006885775862068966,0.5497,153
5.32,0.38601258397102356,0.000677801724137931,0.7507,154
5.43,0.2115519791841507,0.0006670258620689655,0.7202,155
5.53,0.1565294861793518,0.00065625,0.5849,156
5.64,0.5252178311347961,0.0006454741379310345,0.8083,157
5.75,0.6364058256149292,0.0006346982758620689,0.5114,158
5.85,0.5742616653442383,0.0006239224137931035,0.4787,159
5.96,0.5460004806518555,0.0006131465517241379,0.5335,160
6.06,0.396852046251297,0.0006023706896551723,0.5437,175
6.17,0.6505463123321533,0.0005915948275862069,0.479,176
6.28,0.16128602623939514,0.0005808189655172413,0.6021,177
6.38,0.22550542652606964,0.0005700431034482759,0.5177,178
6.49,0.4021695554256439,0.0005592672413793104,0.5874,179
6.6,0.7571147680282593,0.0005484913793103449,0.5192,180
6.7,0.2290351837873459,0.0005377155172413793,0.6539,181
6.81,0.7760951519012451,0.0005269396551724139,0.4748,182
6.92,0.21208536624908447,0.0005161637931034483,0.5539,183
7.02,0.1807185858488083,0.0005053879310344827,0.6221,198
7.13,0.3950234651565552,0.0004946120689655173,0.8012,199
7.23,0.1608220785856247,0.0004838362068965517,0.5844,200
7.34,0.15723612904548645,0.0004730603448275862,0.5111,201
7.45,0.1292591392993927,0.00046228448275862066,0.4032,202
7.55,0.6135503649711609,0.0004515086206896552,0.5107,203
7.66,0.4113679826259613,0.0004407327586206897,0.5296,204
7.77,0.5888086557388306,0.00042995689655172414,0.405,205
7.87,0.2410009354352951,0.00041918103448275863,0.5583,206
7.98,0.4513809382915497,0.0004084051724137931,0.4845,207
8.09,0.39413323998451233,0.00039762931034482757,0.7084,222
8.19,0.2331128716468811,0.00038685344827586206,0.5088,223
8.3,0.17757026851177216,0.0003760775862068966,0.4091,224
8.41,0.5060911178588867,0.00036530172413793105,0.5043,225
8.51,0.45166775584220886,0.00035452586206896554,0.5419,226
8.62,0.24290640652179718,0.00034375,0.5608,227
8.73,0.6494462490081787,0.0003329741379310345,0.5966,228
8.83,1.017372727394104,0.00032219827586206897,0.4715,229
8.94,0.12681686878204346,0.0003114224137931034,0.4842,230
9.04,0.24613460898399353,0.00030064655172413796,0.5034,245
9.15,0.3324474096298218,0.00028987068965517245,0.4963,246
9.26,0.30680379271507263,0.0002790948275862069,0.4995,247
9.36,0.20691490173339844,0.0002683189655172414,0.4518,248
9.47,0.3002864420413971,0.0002575431034482759,0.6946,249
9.58,0.269181489944458,0.0002467672413793103,0.596,250
9.68,0.1498734951019287,0.00023599137931034484,0.4229,251
9.79,0.44979649782180786,0.0002252155172413793,0.3827,252
9.9,0.30945461988449097,0.0002144396551724138,0.5562,253
10.0,0.6184080243110657,0.0002036637931034483,0.4005,254
10.11,0.12303078174591064,0.00019288793103448276,0.695,269
10.21,0.14385508000850677,0.00018211206896551725,0.5899,270
10.32,0.4039519429206848,0.00017133620689655172,0.4113,271
10.43,0.5117296576499939,0.0001605603448275862,0.4087,272
10.53,0.4333674907684326,0.0001497844827586207,0.4996,273
10.64,0.6696196794509888,0.00013900862068965517,0.429,274
10.75,0.278268426656723,0.00012823275862068967,0.6529,275
10.85,0.43997761607170105,0.00011745689655172415,0.5408,276
10.96,0.783117949962616,0.00010668103448275863,0.4333,277
11.06,0.42856866121292114,9.59051724137931e-05,0.5384,292
11.17,0.21039347350597382,8.512931034482759e-05,0.5118,293
11.28,0.22352628409862518,7.435344827586208e-05,0.5612,294
11.38,0.1871311068534851,6.357758620689655e-05,0.5692,295
11.49,0.1859372854232788,5.280172413793104e-05,0.4554,296
11.6,0.2621612548828125,4.202586206896552e-05,0.5531,297
11.7,0.16063907742500305,3.125e-05,0.4831,298
11.81,0.13885417580604553,2.047413793103448e-05,0.5162,299
11.92,0.14064298570156097,9.698275862068966e-06,0.439,300
