epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,43.4797,19
0.11,2.0831046104431152,4.4999999999999996e-05,46.5807,20
1.9,2.515471935272217,0.0008449999999999999,23.7619,21
2.0,1.2916593551635742,0.0008950000000000001,19.7257,21
4.56,1.3123033046722412,0.0007624999999999999,6.654,38
4.67,1.0873064994812012,0.0007511363636363637,6.5249,38
4.78,0.9942830204963684,0.0007397727272727273,6.3503,38
5.56,0.6209419965744019,0.0006602272727272728,5.5474,45
5.67,0.6488682627677917,0.0006488636363636363,4.9332,45
5.78,0.7087405920028687,0.0006374999999999999,4.5155,46
6.78,0.5727829337120056,0.0005352272727272728,4.1203,53
7.56,0.5312754511833191,0.0004556818181818182,4.2657,59
7.67,0.5728859901428223,0.00044431818181818185,4.423,59
7.78,0.6291930079460144,0.0004329545454545455,3.7947,59
11.0,0.20121151208877563,0.00010340909090909091,3.7987,75
11.11,0.8598383665084839,9.204545454545454e-05,4.1245,86
11.22,0.6583418250083923,8.068181818181819e-05,4.2543,86
11.34,0.7759901881217957,6.931818181818182e-05,4.4703,86
11.45,0.49561187624931335,5.795454545454546e-05,3.7883,86
11.56,0.5105980038642883,4.659090909090909e-05,3.8013,86
11.67,0.5646498203277588,3.5227272727272725e-05,4.4855,86
11.78,0.5647720694541931,2.3863636363636365e-05,3.9106,86
11.9,1.2903099060058594,1.25e-05,4.0863,86
12.0,0.33540186285972595,1.1363636363636364e-06,3.2057,86
