epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,8.0728,18
0.1,17.459856033325195,4.4999999999999996e-05,7.9348,19
0.19,39.515533447265625,9.5e-05,6.9744,20
0.29,32.400386810302734,0.000145,3.8302,21
0.38,3.2283596992492676,0.00019500000000000002,3.013,22
0.48,3.132995128631592,0.000245,2.8465,23
0.57,6.325319290161133,0.000295,2.4732,24
0.67,7.955469131469727,0.000345,1.5192,25
0.77,6.761188507080078,0.000395,0.7001,26
0.86,11.475811004638672,0.00044500000000000003,0.5192,27
0.96,8.03763198852539,0.000495,0.4912,28
1.05,7.095666885375977,0.000545,0.4636,41
1.14,5.657793998718262,0.0005949999999999999,0.3578,42
1.24,7.1356282234191895,0.0006450000000000001,0.3653,43
1.33,13.619227409362793,0.000695,0.3852,44
1.43,4.404738426208496,0.000745,0.3763,45
1.53,10.007777214050293,0.000795,0.346,46
1.62,13.358550071716309,0.0008449999999999999,0.3726,47
1.72,9.009440422058105,0.0008950000000000001,0.3993,48
1.81,7.698178291320801,0.000945,0.3745,49
1.91,10.553930282592773,0.000995,0.3885,50
2.0,16.82066535949707,0.0009915094339622641,0.4093,51
2.1,14.41264820098877,0.000982075471698113,0.4075,64
2.19,7.379913330078125,0.0009726415094339622,0.3836,65
2.29,9.440810203552246,0.0009632075471698113,0.4039,66
2.38,7.393773555755615,0.0009537735849056604,0.407,67
2.48,8.225982666015625,0.0009443396226415094,0.3763,68
2.57,7.124904155731201,0.0009349056603773585,0.3858,69
2.67,7.347539901733398,0.0009254716981132075,0.3747,70
2.77,14.150017738342285,0.0009160377358490566,0.3358,71
2.86,13.377921104431152,0.0009066037735849056,0.381,72
2.96,9.24863338470459,0.0008971698113207547,0.3872,73
3.05,9.35767936706543,0.0008877358490566037,0.3571,86
3.14,7.542585849761963,0.0008783018867924528,0.3533,87
3.24,5.771026611328125,0.0008688679245283018,0.3459,88
3.33,6.307504653930664,0.0008594339622641509,0.3285,89
3.43,8.122472763061523,0.00085,0.3276,90
3.53,9.643083572387695,0.000840566037735849,0.3618,91
3.62,10.832724571228027,0.0008311320754716981,0.3476,92
3.72,8.166059494018555,0.0008216981132075472,0.3414,93
3.81,8.330917358398438,0.0008122641509433963,0.3363,94
3.91,8.579663276672363,0.0008028301886792453,0.3547,95
4.0,19.10880470275879,0.0007933962264150944,0.3571,96
4.1,11.29352855682373,0.0007839622641509434,0.3304,109
4.19,8.976691246032715,0.0007745283018867925,0.2835,110
4.29,10.36611557006836,0.0007650943396226416,0.3037,111
4.38,14.46901798248291,0.0007556603773584906,0.3153,112
4.48,13.888821601867676,0.0007462264150943397,0.3203,113
4.57,10.098689079284668,0.0007367924528301887,0.3172,114
4.67,8.41203498840332,0.0007273584905660378,0.2919,115
4.77,8.597835540771484,0.0007179245283018868,0.2657,116
4.86,9.690887451171875,0.0007084905660377359,0.2965,117
4.96,9.267860412597656,0.0006990566037735849,0.3053,118
5.05,9.955403327941895,0.000689622641509434,0.3123,131
5.14,9.411507606506348,0.000680188679245283,0.2762,132
5.24,10.833022117614746,0.0006707547169811321,0.273,133
5.33,6.655664443969727,0.0006613207547169811,0.2749,134
5.43,7.44235897064209,0.0006518867924528302,0.2689,135
5.53,9.471091270446777,0.0006424528301886793,0.2574,136
5.62,7.234114646911621,0.0006330188679245283,0.2826,137
5.72,12.28170108795166,0.0006235849056603774,0.2607,138
5.81,6.20705509185791,0.0006141509433962264,0.2596,139
5.91,13.778199195861816,0.0006047169811320755,0.2513,140
6.0,42.348915100097656,0.0005952830188679245,0.2767,141
6.1,8.020697593688965,0.0005858490566037736,0.2288,154
6.19,8.268051147460938,0.0005764150943396227,0.248,155
6.29,10.624809265136719,0.0005669811320754718,0.2686,156
6.38,7.13070011138916,0.0005575471698113209,0.2543,157
6.48,5.086418151855469,0.0005481132075471699,0.2212,158
6.57,9.229973793029785,0.000538679245283019,0.2278,159
6.67,8.141383171081543,0.000529245283018868,0.2459,160
6.77,5.626702785491943,0.0005198113207547171,0.2344,161
6.86,7.021445274353027,0.0005103773584905661,0.2506,162
6.96,5.935751438140869,0.0005009433962264152,0.2289,163
7.05,6.141892910003662,0.0004915094339622641,0.2204,176
7.14,6.813547134399414,0.00048207547169811324,0.2091,177
7.24,7.96277379989624,0.0004726415094339623,0.1969,178
7.33,5.9490203857421875,0.00046320754716981134,0.2036,179
7.43,7.350509166717529,0.0004537735849056604,0.2128,180
7.53,6.31152868270874,0.00044433962264150945,0.2055,181
7.62,5.546157360076904,0.0004349056603773585,0.2055,182
7.72,4.976192474365234,0.00042547169811320756,0.2058,183
7.81,6.432522296905518,0.0004160377358490566,0.2259,184
7.91,9.645625114440918,0.00040660377358490567,0.2036,185
8.0,12.387203216552734,0.0003971698113207547,0.2065,186
8.1,3.842106342315674,0.00038773584905660383,0.183,199
8.19,5.982913970947266,0.0003783018867924529,0.1882,200
8.29,3.9927191734313965,0.0003688679245283019,0.1769,201
8.38,5.106823444366455,0.00035943396226415094,0.1516,202
8.48,5.4045729637146,0.00035,0.1674,203
8.57,6.109494686126709,0.00034056603773584905,0.1861,204
8.67,7.520181179046631,0.0003311320754716981,0.1822,205
8.77,4.899971961975098,0.00032169811320754716,0.1686,206
8.86,4.354959487915039,0.0003122641509433962,0.1755,207
8.96,3.731879234313965,0.00030283018867924527,0.1736,208
9.05,4.3636088371276855,0.0002933962264150943,0.1628,221
9.14,3.948024272918701,0.0002839622641509434,0.142,222
9.24,5.617969989776611,0.00027452830188679243,0.1395,223
9.33,4.692934513092041,0.0002650943396226415,0.139,224
9.43,3.25478196144104,0.0002556603773584906,0.1507,225
9.53,4.933221340179443,0.00024622641509433965,0.1406,226
9.62,4.696707725524902,0.00023679245283018868,0.1416,227
9.72,2.8954668045043945,0.00022735849056603776,0.1337,228
9.81,3.381922721862793,0.0002179245283018868,0.1329,229
9.91,3.4400036334991455,0.00020849056603773587,0.135,230
10.0,9.328568458557129,0.00019905660377358492,0.1418,231
10.1,2.901700019836426,0.00018962264150943397,0.1035,244
10.19,6.496667861938477,0.000180188679245283,0.1066,245
10.29,3.392972469329834,0.00017075471698113206,0.1117,246
