epoch,grad_norm,learning_rate,loss,_line
0.01,11.300859451293945,0.0,7.8128,19
0.11,12.595039367675781,4.4999999999999996e-05,8.1009,20
0.23,10.923566818237305,9.5e-05,7.6402,21
0.34,8.73999309539795,0.000145,6.5794,22
0.45,6.525964260101318,0.00019500000000000002,5.7515,23
0.56,3.4875235557556152,0.000245,4.767,24
0.68,7.1003737449646,0.000295,4.3015,25
0.79,5.8655195236206055,0.000345,3.7153,26
0.9,1.3621175289154053,0.000395,3.1009,27
1.01,1.4777549505233765,0.00044500000000000003,2.8224,40
1.12,1.0934021472930908,0.000495,2.5429,41
1.24,1.2896219491958618,0.000545,2.3214,42
1.35,1.0159622430801392,0.0005949999999999999,2.1885,43
1.46,0.6718997359275818,0.0006450000000000001,2.07,44
1.57,0.7436205744743347,0.000695,2.0091,45
1.69,0.6860330104827881,0.000745,1.9243,46
1.8,0.6888511180877686,0.000795,1.8734,47
1.91,0.7797662615776062,0.0008449999999999999,1.8231,48
2.02,0.871779203414917,0.0008950000000000001,1.7794,61
2.14,0.8250985145568848,0.000945,1.7416,62
2.25,0.8608760833740234,0.000995,1.6691,63
2.36,0.7837745547294617,0.0009896313364055299,1.654,64
2.47,0.8237771391868591,0.0009781105990783409,1.5829,65
2.59,0.6481921076774597,0.000966589861751152,1.5651,66
2.7,0.8893407583236694,0.0009550691244239631,1.5538,67
2.81,0.7706875801086426,0.0009435483870967742,1.4937,68
2.92,1.188550353050232,0.0009320276497695853,1.4442,69
3.03,0.5031718015670776,0.0009205069124423964,1.4071,82
3.15,0.5598937273025513,0.0009089861751152075,1.3237,83
3.26,0.7832921743392944,0.0008974654377880185,1.3222,84
3.37,0.5793139338493347,0.0008859447004608296,1.2986,85
3.48,0.6027829051017761,0.0008744239631336406,1.2072,86
3.6,0.6958643198013306,0.0008629032258064516,1.1823,87
3.71,0.6196330189704895,0.0008513824884792627,1.0843,88
3.82,0.5678828358650208,0.0008398617511520737,1.0283,89
3.94,0.5045397877693176,0.0008283410138248848,0.9235,90
4.05,0.4910854697227478,0.0008168202764976958,0.8512,103
4.16,0.483619749546051,0.000805299539170507,0.7852,104
4.27,0.5182405114173889,0.000793778801843318,0.7622,105
4.38,0.35725465416908264,0.0007822580645161291,0.7162,106
4.5,0.7897624373435974,0.0007707373271889401,0.6425,107
4.61,0.5054506063461304,0.0007592165898617511,0.6568,108
4.72,0.9384578466415405,0.0007476958525345622,0.59,109
4.83,0.746581494808197,0.0007361751152073732,0.5524,110
4.95,0.5025731325149536,0.0007246543778801844,0.5505,111
5.06,0.6765390038490295,0.0007131336405529954,0.5478,124
5.17,0.3346903324127197,0.0007016129032258065,0.5209,125
5.28,0.4660618007183075,0.0006900921658986175,0.5267,126
5.39,0.5986328721046448,0.0006785714285714287,0.4609,127
5.51,0.27156150341033936,0.0006670506912442397,0.4867,128
5.62,0.7849268317222595,0.0006555299539170507,0.4728,129
5.73,0.42053458094596863,0.0006440092165898618,0.4607,130
5.85,0.27288705110549927,0.0006324884792626728,0.4756,131
5.96,0.29980573058128357,0.0006209677419354839,0.4377,132
6.07,0.38297829031944275,0.0006094470046082949,0.4496,145
6.18,0.2854155898094177,0.000597926267281106,0.4365,146
6.29,0.6018964648246765,0.000586405529953917,0.4343,147
6.41,0.2551947236061096,0.0005748847926267281,0.4333,148
6.52,0.4350857138633728,0.0005633640552995392,0.4146,149
6.63,0.34612131118774414,0.0005518433179723502,0.4235,150
6.74,0.2815082371234894,0.0005403225806451613,0.4012,151
6.86,0.26011914014816284,0.0005288018433179723,0.4125,152
6.97,0.5014848709106445,0.0005172811059907834,0.4202,153
7.08,0.24480797350406647,0.0005057603686635944,0.3852,166
7.19,0.5222440958023071,0.0004942396313364055,0.4106,167
7.3,0.3926818072795868,0.0004827188940092166,0.3925,168
