epoch,grad_norm,learning_rate,loss,_line
0.01,2.4284355640411377,0.0,3.2946,17
0.11,2.2713332176208496,2.25e-06,3.497,18
0.21,2.403028726577759,4.75e-06,3.4341,19
0.32,2.226680278778076,7.25e-06,3.4478,20
0.43,2.380587100982666,9.750000000000002e-06,3.4238,21
0.53,2.4979007244110107,1.225e-05,3.3551,22
0.64,2.5479941368103027,1.475e-05,3.1379,23
0.75,2.448113441467285,1.725e-05,2.9369,24
0.86,2.2129361629486084,1.9750000000000002e-05,2.6985,25
0.96,1.0583992004394531,2.2250000000000002e-05,2.4823,26
1.06,0.6121392846107483,2.4750000000000002e-05,2.3612,37
1.17,0.358216792345047,2.725e-05,2.1995,38
1.28,0.3145849406719208,2.975e-05,2.1315,39
1.39,0.32756492495536804,3.2250000000000005e-05,2.0263,40
1.49,0.3581632971763611,3.475e-05,1.8327,41
1.6,0.42215588688850403,3.7250000000000004e-05,1.62,42
1.71,0.28705447912216187,3.9750000000000004e-05,1.4313,43
1.81,0.16714727878570557,4.2250000000000004e-05,1.2816,44
1.92,0.2150975912809372,4.4750000000000004e-05,1.2493,45
2.02,0.21877875924110413,4.7249999999999997e-05,1.2007,56
2.13,0.16779617965221405,4.975e-05,1.0674,57
2.24,0.12932106852531433,4.951508620689656e-05,1.0316,58
2.34,0.12691165506839752,4.897629310344828e-05,1.0269,59
2.45,0.9147694706916809,4.8437500000000005e-05,0.9405,60
2.56,0.12471168488264084,4.7898706896551726e-05,0.923,61
2.66,0.12500159442424774,4.735991379310345e-05,0.9485,62
2.77,0.12239467352628708,4.6821120689655174e-05,0.9109,63
2.88,0.10127219557762146,4.6282327586206894e-05,0.9502,64
2.98,0.13565796613693237,4.574353448275862e-05,0.9429,65
3.09,0.11652389913797379,4.520474137931034e-05,0.9,76
3.19,0.10017797350883484,4.466594827586207e-05,0.9277,77
3.3,0.09683612734079361,4.41271551724138e-05,0.9052,78
3.41,0.12136634439229965,4.3588362068965525e-05,0.8919,79
3.51,0.11048958450555801,4.3049568965517245e-05,0.8912,80
3.62,0.13114234805107117,4.2510775862068966e-05,0.8793,81
3.73,0.1341303139925003,4.197198275862069e-05,0.8798,82
3.83,0.11328108608722687,4.1433189655172414e-05,0.9007,83
3.94,1.3865739107131958,4.089439655172414e-05,0.8642,84
4.04,0.11761400103569031,4.035560344827586e-05,0.8528,95
4.15,0.11586975306272507,3.981681034482759e-05,0.8369,96
4.26,0.11600363999605179,3.927801724137931e-05,0.8641,97
4.36,0.12176376581192017,3.873922413793104e-05,0.8591,98
4.47,0.12805058062076569,3.820043103448276e-05,0.8477,99
4.58,0.112481988966465,3.7661637931034485e-05,0.8198,100
4.68,0.16881605982780457,3.7122844827586206e-05,0.8379,101
4.79,0.1214069277048111,3.658405172413793e-05,0.8278,102
4.9,0.10483121126890182,3.604525862068966e-05,0.8105,103
5.0,0.1231960877776146,3.550646551724138e-05,0.7638,104
5.11,0.1217181459069252,3.496767241379311e-05,0.837,115
5.21,0.13729886710643768,3.442887931034483e-05,0.7905,116
5.32,0.16146424412727356,3.389008620689656e-05,0.7636,117
5.43,0.12307780981063843,3.335129310344828e-05,0.7548,118
5.53,1.4558378458023071,3.2812500000000005e-05,0.7711,119
5.64,0.14996552467346191,3.2273706896551725e-05,0.7497,120
5.75,0.12916910648345947,3.1734913793103446e-05,0.7798,121
5.86,0.16055820882320404,3.1196120689655173e-05,0.7559,122
5.96,0.14447499811649323,3.0657327586206894e-05,0.7282,123
6.06,0.14264459908008575,3.011853448275862e-05,0.7108,134
6.17,0.15256913006305695,2.9579741379310345e-05,0.6838,135
6.28,0.18157894909381866,2.9040948275862066e-05,0.7189,136
6.39,0.17946960031986237,2.8502155172413797e-05,0.661,137
6.49,0.19704316556453705,2.796336206896552e-05,0.675,138
6.6,0.19244696199893951,2.7424568965517245e-05,0.6381,139
6.71,0.20754209160804749,2.688577586206897e-05,0.6155,140
6.81,0.2957359254360199,2.6346982758620693e-05,0.6051,141
6.92,0.32153841853141785,2.5808189655172417e-05,0.565,142
7.02,0.33578914403915405,2.526939655172414e-05,0.4805,153
7.13,0.31565186381340027,2.473060344827586e-05,0.4337,154
7.24,0.34015241265296936,2.4191810344827586e-05,0.3917,155
7.34,0.41115400195121765,2.365301724137931e-05,0.3077,156
7.45,0.29482796788215637,2.3114224137931034e-05,0.2662,157
7.56,0.22477632761001587,2.257543103448276e-05,0.2692,158
7.66,0.2182820588350296,2.2036637931034485e-05,0.2616,159
7.77,0.15154783427715302,2.149784482758621e-05,0.2494,160
7.88,0.13406121730804443,2.0959051724137933e-05,0.2415,161
7.98,0.19747138023376465,2.0420258620689657e-05,0.2761,162
8.09,0.1839633285999298,1.988146551724138e-05,0.2587,173
8.19,0.15373645722866058,1.93426724137931e-05,0.2581,174
8.3,0.14305993914604187,1.880387931034483e-05,0.2179,175
8.41,0.14144816994667053,1.8265086206896553e-05,0.2376,176
8.51,0.1639484316110611,1.7726293103448277e-05,0.2393,177
8.62,0.16175654530525208,1.71875e-05,0.2345,178
8.73,0.1280849575996399,1.6648706896551725e-05,0.2328,179
8.83,0.16591747105121613,1.610991379310345e-05,0.2254,180
8.94,0.16817143559455872,1.5571120689655173e-05,0.2276,181
9.04,0.10888133198022842,1.5032327586206899e-05,0.2542,192
9.15,0.1274607926607132,1.4493534482758623e-05,0.2455,193
9.26,0.1270771324634552,1.3954741379310347e-05,0.2192,194
9.36,0.17698608338832855,1.3415948275862069e-05,0.2287,195
9.47,0.13158972561359406,1.2877155172413793e-05,0.268,196
9.58,0.13403697311878204,1.2338362068965517e-05,0.2219,197
9.68,0.15699270367622375,1.1799568965517243e-05,0.2237,198
9.79,0.15258260071277618,1.1260775862068967e-05,0.2514,199
9.9,0.12954789400100708,1.072198275862069e-05,0.2205,200
10.0,0.17287369072437286,1.0183189655172415e-05,0.1987,201
10.11,0.13180392980575562,9.644396551724139e-06,0.2407,212
10.21,0.18235771358013153,9.105603448275863e-06,0.2143,213
10.32,0.1337127983570099,8.566810344827587e-06,0.2378,214
10.43,0.1432138979434967,8.028017241379311e-06,0.2016,215
10.53,0.1485009342432022,7.489224137931035e-06,0.2104,216
10.64,0.15422192215919495,6.950431034482759e-06,0.2394,217
10.75,0.16324938833713531,6.411637931034484e-06,0.2418,218
10.86,0.12389113008975983,5.872844827586208e-06,0.2269,219
10.96,0.11862929165363312,5.334051724137931e-06,0.2403,220
11.06,0.14736025035381317,4.795258620689656e-06,0.2155,231
11.17,0.12979787588119507,4.256465517241379e-06,0.2327,232
11.28,0.14097198843955994,3.717672413793104e-06,0.1966,233
11.39,0.14902794361114502,3.1788793103448274e-06,0.2019,234
11.49,0.16158002614974976,2.640086206896552e-06,0.2441,235
11.6,0.16167381405830383,2.101293103448276e-06,0.2576,236
11.71,0.15813426673412323,1.5625e-06,0.229,237
11.81,0.16142958402633667,1.023706896551724e-06,0.2238,238
11.92,0.15587875247001648,4.849137931034483e-07,0.242,239
