epoch,grad_norm,learning_rate,loss,_line
0.01,0.9212963581085205,0.0,5.024,17
0.1,1.0437145233154297,2.25e-06,5.3215,18
0.2,0.9964753985404968,4.75e-06,5.2409,19
0.3,0.8773038983345032,7.25e-06,5.2195,20
0.4,1.1200342178344727,9.750000000000002e-06,5.1594,21
0.51,1.136772871017456,1.225e-05,5.2117,22
0.61,1.1063544750213623,1.475e-05,5.0771,23
0.71,1.0058835744857788,1.725e-05,5.0167,24
0.81,0.6819388270378113,1.9750000000000002e-05,4.8711,25
0.91,0.5113945603370667,2.2250000000000002e-05,4.7516,26
1.01,0.41541051864624023,2.4750000000000002e-05,4.708,37
1.11,0.3997310400009155,2.725e-05,4.5938,38
1.21,0.41878432035446167,2.975e-05,4.4832,39
1.31,0.36958247423171997,3.2250000000000005e-05,4.3593,40
1.41,0.4075804650783539,3.475e-05,4.1574,41
1.52,0.33467328548431396,3.7250000000000004e-05,4.0298,42
1.62,0.3512970805168152,3.9750000000000004e-05,3.9609,43
1.72,0.3381882309913635,4.2250000000000004e-05,3.8948,44
1.82,0.37267085909843445,4.4750000000000004e-05,3.8191,45
1.92,0.3829037547111511,4.7249999999999997e-05,3.6855,46
2.02,0.4010605216026306,4.975e-05,3.5976,57
2.12,0.39186033606529236,4.954453441295547e-05,3.5171,58
2.22,0.448299765586853,4.9038461538461536e-05,3.4636,59
2.32,0.4173398017883301,4.8532388663967616e-05,3.3292,60
2.42,0.49742698669433594,4.802631578947368e-05,3.3588,61
2.53,0.4713682234287262,4.7520242914979756e-05,3.2658,62
2.63,0.4490819573402405,4.7014170040485836e-05,3.2844,63
2.73,0.5592838525772095,4.65080971659919e-05,3.175,64
2.83,0.5368802547454834,4.600202429149798e-05,3.2049,65
2.93,0.5322512984275818,4.549595141700405e-05,3.1461,66
3.03,0.49686282873153687,4.498987854251012e-05,3.1162,77
3.13,0.5959941744804382,4.4483805668016196e-05,3.0824,78
3.23,0.6085329055786133,4.397773279352227e-05,3.0406,79
3.33,0.6156526803970337,4.347165991902834e-05,2.9715,80
3.43,0.6382194757461548,4.2965587044534416e-05,2.9545,81
3.54,0.638830840587616,4.245951417004049e-05,2.9235,82
3.64,2.7692766189575195,4.1953441295546556e-05,2.8886,83
3.74,0.6145557165145874,4.1447368421052636e-05,2.8722,84
3.84,0.669689953327179,4.09412955465587e-05,2.9696,85
3.94,0.8033559918403625,4.043522267206478e-05,2.8151,86
4.04,0.7533754706382751,3.9929149797570856e-05,2.8195,97
4.14,0.6407734155654907,3.942307692307692e-05,2.8456,98
4.24,0.6852967739105225,3.8917004048583e-05,2.7485,99
4.34,0.9105416536331177,3.841093117408907e-05,2.7546,100
4.44,0.7576266527175903,3.790485829959514e-05,2.7243,101
4.55,0.7310248017311096,3.7398785425101215e-05,2.7113,102
4.65,0.8174161314964294,3.689271255060729e-05,2.6906,103
4.75,0.6709997653961182,3.638663967611336e-05,2.7001,104
4.85,0.704626202583313,3.5880566801619435e-05,2.6911,105
4.95,0.789553701877594,3.537449392712551e-05,2.7324,106
5.05,0.8329082131385803,3.4868421052631575e-05,2.6674,117
5.15,0.8585445284843445,3.4362348178137655e-05,2.6648,118
5.25,0.8747676014900208,3.385627530364373e-05,2.5864,119
5.35,0.8006645441055298,3.33502024291498e-05,2.5974,120
5.45,0.717612624168396,3.2844129554655875e-05,2.5429,121
5.56,0.813601016998291,3.233805668016194e-05,2.6241,122
5.66,0.8148209452629089,3.183198380566802e-05,2.5323,123
5.76,0.8681865930557251,3.132591093117409e-05,2.5398,124
5.86,0.8935197591781616,3.081983805668016e-05,2.6029,125
5.96,0.8220540881156921,3.0313765182186238e-05,2.5209,126
6.06,0.8663299083709717,2.9807692307692308e-05,2.5012,137
6.16,0.8753467798233032,2.9301619433198378e-05,2.4767,138
6.26,0.8589007258415222,2.8795546558704455e-05,2.4889,139
6.36,0.845746636390686,2.8289473684210528e-05,2.4869,140
6.46,0.9301387071609497,2.7783400809716605e-05,2.4893,141
6.57,0.859054684638977,2.7277327935222675e-05,2.4509,142
6.67,0.8498402833938599,2.6771255060728745e-05,2.4405,143
6.77,0.8827299475669861,2.626518218623482e-05,2.4502,144
6.87,0.9828111529350281,2.575910931174089e-05,2.4628,145
6.97,0.8805133700370789,2.5253036437246965e-05,2.4705,146
7.07,0.8139048218727112,2.4746963562753038e-05,2.458,157
7.17,0.8500802516937256,2.424089068825911e-05,2.3864,158
7.27,0.9541991949081421,2.3734817813765184e-05,2.397,159
7.37,3.285989284515381,2.3228744939271258e-05,2.3538,160
7.47,0.9926149249076843,2.2722672064777328e-05,2.4126,161
7.58,0.9162958860397339,2.22165991902834e-05,2.418,162
7.68,0.9771847724914551,2.1710526315789474e-05,2.3951,163
7.78,1.0828638076782227,2.1204453441295548e-05,2.3438,164
7.88,0.9380779266357422,2.069838056680162e-05,2.3888,165
7.98,1.1752828359603882,2.0192307692307694e-05,2.3545,166
8.08,0.9391956329345703,1.9686234817813767e-05,2.3444,177
8.18,0.9853872060775757,1.9180161943319837e-05,2.3477,178
8.28,1.0292589664459229,1.867408906882591e-05,2.3612,179
8.38,0.9053797721862793,1.8168016194331984e-05,2.3768,180
8.48,0.9723899960517883,1.7661943319838057e-05,2.297,181
8.59,1.038455605506897,1.715587044534413e-05,2.3026,182
8.69,1.0356992483139038,1.6649797570850204e-05,2.3254,183
8.79,0.9216701984405518,1.6143724696356277e-05,2.2816,184
8.89,1.0644264221191406,1.5637651821862347e-05,2.3318,185
8.99,1.1639443635940552,1.5131578947368422e-05,2.2911,186
9.09,1.0725040435791016,1.4625506072874495e-05,2.333,197
9.19,0.9998508095741272,1.4119433198380565e-05,2.2725,198
9.29,1.0437740087509155,1.361336032388664e-05,2.2809,199
9.39,1.0241355895996094,1.3107287449392714e-05,2.2446,200
9.49,1.0616956949234009,1.2601214574898787e-05,2.326,201
9.6,0.9545671343803406,1.2095141700404859e-05,2.2806,202
9.7,1.03166663646698,1.1589068825910932e-05,2.3118,203
