epoch,grad_norm,learning_rate,loss,_line
0.01,1.8243870735168457,0.0,4.2712,14
0.1,1.5550874471664429,2.25e-06,3.6128,15
0.19,1.913681983947754,4.75e-06,3.6794,16
0.29,1.2183427810668945,7.25e-06,3.6516,17
0.38,0.8861910104751587,9.750000000000002e-06,3.4965,18
0.48,1.6749314069747925,1.225e-05,3.5222,19
0.57,1.5065537691116333,1.475e-05,3.3902,20
0.67,1.4730620384216309,1.725e-05,3.347,21
0.77,1.3960243463516235,1.9750000000000002e-05,3.2279,22
0.86,1.0324428081512451,2.2250000000000002e-05,3.0184,23
0.96,0.4998628497123718,2.4750000000000002e-05,2.9212,24
1.05,0.433666855096817,2.725e-05,2.7784,35
1.14,0.40993213653564453,2.975e-05,2.5553,36
1.24,0.44024816155433655,3.2250000000000005e-05,2.4817,37
1.33,0.35678380727767944,3.475e-05,2.2745,38
1.43,0.30578914284706116,3.7250000000000004e-05,2.1447,39
1.53,0.3124485909938812,3.9750000000000004e-05,2.0687,40
1.62,0.30700719356536865,4.2250000000000004e-05,2.0071,41
1.72,0.3094586431980133,4.4750000000000004e-05,1.9379,42
1.81,0.3169557750225067,4.7249999999999997e-05,1.8587,43
1.91,0.322688490152359,4.975e-05,1.8021,44
2.0,0.7955036759376526,4.9575471698113206e-05,1.7254,45
2.1,0.33219096064567566,4.910377358490566e-05,1.6519,56
2.19,0.4052971303462982,4.8632075471698116e-05,1.6097,57
2.29,0.353472501039505,4.8160377358490565e-05,1.591,58
2.38,0.33317649364471436,4.768867924528302e-05,1.524,59
2.48,0.332706093788147,4.721698113207547e-05,1.4771,60
2.57,0.3398531675338745,4.6745283018867925e-05,1.4509,61
2.67,0.35780608654022217,4.627358490566038e-05,1.464,62
2.77,0.33589595556259155,4.580188679245283e-05,1.3903,63
2.86,0.39608797430992126,4.5330188679245284e-05,1.3855,64
2.96,0.36556005477905273,4.485849056603774e-05,1.429,65
3.05,0.30774182081222534,4.438679245283019e-05,1.3081,76
3.14,0.4011354446411133,4.3915094339622644e-05,1.3368,77
3.24,0.38804829120635986,4.344339622641509e-05,1.3544,78
3.33,0.3870512843132019,4.297169811320755e-05,1.3508,79
3.43,0.3625338673591614,4.25e-05,1.2837,80
3.53,0.48600366711616516,4.202830188679245e-05,1.3145,81
3.62,0.3947880268096924,4.155660377358491e-05,1.3069,82
3.72,1.2765175104141235,4.108490566037736e-05,1.2449,83
3.81,0.413799524307251,4.061320754716981e-05,1.2531,84
3.91,0.3510853052139282,4.014150943396227e-05,1.2747,85
4.0,0.7096702456474304,3.9669811320754715e-05,1.1927,86
4.1,0.40942806005477905,3.919811320754717e-05,1.2134,97
4.19,0.4700813591480255,3.8726415094339626e-05,1.1887,98
4.29,0.42297711968421936,3.8254716981132075e-05,1.2203,99
4.38,0.46713724732398987,3.778301886792453e-05,1.2306,100
4.48,0.41679537296295166,3.7311320754716986e-05,1.1724,101
4.57,0.4269099235534668,3.6839622641509434e-05,1.1618,102
4.67,0.47201910614967346,3.636792452830189e-05,1.1914,103
4.77,0.4477532207965851,3.589622641509434e-05,1.1544,104
4.86,0.4059584140777588,3.5424528301886794e-05,1.15,105
4.96,0.36117348074913025,3.495283018867925e-05,1.1682,106
5.05,0.4372839629650116,3.44811320754717e-05,1.1423,117
5.14,0.48473453521728516,3.400943396226415e-05,1.1564,118
5.24,0.480499267578125,3.353773584905661e-05,1.1252,119
5.33,0.44813764095306396,3.306603773584906e-05,1.1208,120
5.43,0.44631657004356384,3.259433962264151e-05,1.1029,121
5.53,0.48373860120773315,3.212264150943397e-05,1.0992,122
5.62,0.48545318841934204,3.165094339622642e-05,1.0938,123
5.72,0.4105435609817505,3.117924528301887e-05,1.0804,124
5.81,0.4205268323421478,3.070754716981132e-05,1.0639,125
5.91,0.4496782720088959,3.0235849056603776e-05,1.0756,126
6.0,0.9224726557731628,2.976415094339623e-05,1.0774,127
6.1,0.47599977254867554,2.9292452830188684e-05,1.0356,138
6.19,0.4283599555492401,2.8820754716981136e-05,1.068,139
6.29,0.43998783826828003,2.8349056603773588e-05,1.0602,140
6.38,0.39472728967666626,2.787735849056604e-05,1.0463,141
6.48,0.45225220918655396,2.7405660377358495e-05,1.0174,142
6.57,0.4964125454425812,2.6933962264150947e-05,1.029,143
6.67,0.44486239552497864,2.64622641509434e-05,0.9963,144
6.77,0.5231347680091858,2.599056603773585e-05,1.018,145
6.86,0.4863869547843933,2.5518867924528307e-05,1.038,146
6.96,0.44687420129776,2.504716981132076e-05,1.0398,147
7.05,0.47579801082611084,2.4575471698113208e-05,0.9992,158
7.14,0.433306485414505,2.4103773584905663e-05,0.9792,159
7.24,0.4768560528755188,2.3632075471698115e-05,0.9581,160
7.33,0.49848538637161255,2.3160377358490567e-05,0.9734,161
7.43,0.5471171140670776,2.268867924528302e-05,0.971,162
7.53,0.48728546500205994,2.2216981132075475e-05,0.997,163
7.62,0.49649855494499207,2.1745283018867927e-05,0.9806,164
7.72,0.5055092573165894,2.127358490566038e-05,0.9503,165
7.81,0.4928859770298004,2.080188679245283e-05,0.9746,166
7.91,0.5001574754714966,2.0330188679245286e-05,0.9056,167
8.0,0.9835913181304932,1.9858490566037738e-05,0.9585,168
8.1,0.4437873363494873,1.938679245283019e-05,0.9317,179
8.19,0.4979982078075409,1.8915094339622642e-05,0.8912,180
8.29,0.5975564122200012,1.8443396226415094e-05,0.8935,181
8.38,0.4687129855155945,1.7971698113207546e-05,0.8317,182
8.48,0.5447489619255066,1.75e-05,0.8689,183
8.57,0.5422888994216919,1.7028301886792454e-05,0.8351,184
8.67,0.6492267847061157,1.6556603773584906e-05,0.8232,185
8.77,0.5188694000244141,1.6084905660377358e-05,0.8025,186
8.86,0.580449640750885,1.561320754716981e-05,0.7632,187
8.96,0.575698733329773,1.5141509433962264e-05,0.7653,188
9.05,0.5451676249504089,1.4669811320754717e-05,0.756,199
9.14,0.5814472436904907,1.419811320754717e-05,0.7064,200
9.24,0.5316675901412964,1.3726415094339623e-05,0.7211,201
9.33,0.556114137172699,1.3254716981132075e-05,0.691,202
9.43,0.5281946063041687,1.2783018867924529e-05,0.6834,203
9.53,0.50881028175354,1.2311320754716981e-05,0.6748,204
9.62,0.5082815289497375,1.1839622641509435e-05,0.6695,205
9.72,0.47498422861099243,1.1367924528301887e-05,0.6598,206
9.81,0.4764462113380432,1.089622641509434e-05,0.6534,207
9.91,0.5252808928489685,1.0424528301886793e-05,0.6877,208
10.0,0.9505578875541687,9.952830188679246e-06,0.6707,209
10.1,0.5687960982322693,9.481132075471698e-06,0.668,220
10.19,0.5088990330696106,9.00943396226415e-06,0.6615,221
10.29,0.49899908900260925,8.537735849056604e-06,0.659,222
10.38,0.5333415865898132,8.066037735849056e-06,0.67,223
10.48,0.4769778251647949,7.594339622641509e-06,0.6736,224
10.57,0.5282235741615295,7.122641509433962e-06,0.6504,225
10.67,0.5366334319114685,6.650943396226416e-06,0.6351,226
10.77,0.4669727385044098,6.179245283018869e-06,0.6866,227
10.86,0.47110554575920105,5.7075471698113215e-06,0.6454,228
10.96,0.4412759244441986,5.235849056603774e-06,0.6349,229
11.05,0.4428189694881439,4.764150943396227e-06,0.6559,240
11.14,0.4106997549533844,4.292452830188679e-06,0.6304,241
11.24,0.4841598570346832,3.820754716981132e-06,0.6419,242
11.33,0.47645053267478943,3.349056603773585e-06,0.6212,243
11.43,0.47004571557044983,2.877358490566038e-06,0.6312,244
11.53,0.5262077450752258,2.405660377358491e-06,0.6439,245
11.62,0.48769310116767883,1.9339622641509433e-06,0.6588,246
11.72,0.479440838098526,1.4622641509433962e-06,0.6861,247
11.81,0.5865375399589539,9.90566037735849e-07,0.6656,248
11.91,0.45266517996788025,5.188679245283019e-07,0.6561,249
12.0,0.9705755114555359,4.716981132075472e-08,0.6585,250
