epoch,grad_norm,learning_rate,loss,_line
0.01,1.5818248987197876,0.0,3.8001,17
0.11,1.3528573513031006,2.25e-06,3.9667,18
0.23,1.5651686191558838,4.75e-06,3.9194,19
0.34,1.4630781412124634,7.25e-06,3.8886,20
0.45,1.4485502243041992,9.750000000000002e-06,3.8242,21
0.56,1.5109162330627441,1.225e-05,3.8086,22
0.68,1.1209461688995361,1.475e-05,3.6696,23
0.79,1.0773078203201294,1.725e-05,3.5139,24
0.9,0.9276658296585083,1.9750000000000002e-05,3.4418,25
1.01,0.5868462920188904,2.2250000000000002e-05,3.2568,36
1.12,0.4311612546443939,2.4750000000000002e-05,3.1475,37
1.24,0.4141187369823456,2.725e-05,2.9783,38
1.35,0.40108761191368103,2.975e-05,2.9105,39
1.46,0.3829416334629059,3.2250000000000005e-05,2.7789,40
1.57,0.37513265013694763,3.475e-05,2.6182,41
1.69,0.3111928403377533,3.7250000000000004e-05,2.4484,42
1.8,0.3101876378059387,3.9750000000000004e-05,2.3869,43
1.91,0.35890406370162964,4.2250000000000004e-05,2.23,44
2.02,0.341470330953598,4.4750000000000004e-05,2.2116,55
2.14,0.3622523844242096,4.7249999999999997e-05,2.1297,56
2.25,0.3639148771762848,4.975e-05,2.014,57
2.36,0.375785768032074,4.9481566820276495e-05,1.9789,58
2.47,0.4174652397632599,4.8905529953917054e-05,1.8403,59
2.59,0.3887421488761902,4.8329493087557606e-05,1.8189,60
2.7,0.3644055724143982,4.775345622119816e-05,1.7709,61
2.81,0.3764021098613739,4.7177419354838716e-05,1.7026,62
2.92,0.3767181932926178,4.660138248847927e-05,1.6687,63
3.03,0.3507487177848816,4.602534562211982e-05,1.6456,74
3.15,0.4111471474170685,4.544930875576037e-05,1.5611,75
3.26,0.3831499218940735,4.487327188940092e-05,1.5795,76
3.37,0.4074174761772156,4.429723502304148e-05,1.5975,77
3.48,0.46282267570495605,4.372119815668203e-05,1.5182,78
3.6,0.45914226770401,4.3145161290322584e-05,1.5873,79
3.71,0.3673473298549652,4.2569124423963136e-05,1.4539,80
3.82,0.42985060811042786,4.199308755760369e-05,1.4875,81
3.94,0.4718015789985657,4.141705069124424e-05,1.4647,82
4.05,0.4836042821407318,4.08410138248848e-05,1.4328,93
4.16,0.47069719433784485,4.026497695852535e-05,1.4531,94
4.27,0.39856430888175964,3.96889400921659e-05,1.395,95
4.38,0.47465166449546814,3.911290322580645e-05,1.4322,96
4.5,0.5344589948654175,3.8536866359447004e-05,1.3565,97
4.61,0.5193366408348083,3.7960829493087555e-05,1.4057,98
4.72,0.46665313839912415,3.738479262672811e-05,1.3486,99
4.83,0.4851715564727783,3.6808755760368665e-05,1.3271,100
4.95,0.4855588972568512,3.6232718894009224e-05,1.3388,101
5.06,0.4992246627807617,3.5656682027649776e-05,1.3302,112
5.17,0.5962240695953369,3.508064516129033e-05,1.3072,113
5.28,0.5056052803993225,3.450460829493088e-05,1.3218,114
5.39,0.47530442476272583,3.392857142857143e-05,1.2898,115
5.51,0.45525917410850525,3.335253456221198e-05,1.2863,116
5.62,0.48677492141723633,3.277649769585254e-05,1.2836,117
5.73,0.3951758146286011,3.220046082949309e-05,1.2435,118
5.85,0.526303231716156,3.1624423963133644e-05,1.2781,119
5.96,0.5963473916053772,3.1048387096774195e-05,1.2303,120
6.07,0.4595981538295746,3.0472350230414747e-05,1.2306,131
6.18,0.4964686930179596,2.9896313364055302e-05,1.2461,132
6.29,0.49967679381370544,2.9320276497695854e-05,1.2319,133
6.41,0.4605550169944763,2.8744239631336405e-05,1.2135,134
6.52,0.5063979029655457,2.8168202764976957e-05,1.1995,135
6.63,0.5783869624137878,2.7592165898617512e-05,1.2256,136
6.74,0.5593924522399902,2.7016129032258064e-05,1.2,137
6.86,0.606559693813324,2.6440092165898615e-05,1.2049,138
6.97,0.4908069968223572,2.586405529953917e-05,1.2214,139
7.08,0.5278394222259521,2.5288018433179722e-05,1.1716,150
7.19,0.5189530849456787,2.4711981566820277e-05,1.1898,151
7.3,0.4956170618534088,2.413594470046083e-05,1.1663,152
7.42,0.5296617150306702,2.3559907834101384e-05,1.2083,153
7.53,0.6255031228065491,2.2983870967741935e-05,1.1491,154
7.64,0.5392918586730957,2.2407834101382487e-05,1.1373,155
7.75,0.5198227167129517,2.1831797235023045e-05,1.1554,156
7.87,0.5012356638908386,2.1255760368663597e-05,1.1475,157
7.98,0.4481087327003479,2.067972350230415e-05,1.1168,158
8.09,0.551083505153656,2.01036866359447e-05,1.1488,169
8.2,0.5923199653625488,1.9527649769585255e-05,1.1208,170
8.32,0.4792884886264801,1.8951612903225807e-05,1.1284,171
8.43,0.5608354806900024,1.837557603686636e-05,1.1173,172
8.54,0.5184025168418884,1.7799539170506914e-05,1.1189,173
8.65,0.6487362384796143,1.7223502304147465e-05,1.1204,174
8.77,0.5678871273994446,1.6647465437788017e-05,1.1013,175
8.88,0.6390171051025391,1.6071428571428572e-05,1.1152,176
8.99,0.512763500213623,1.5495391705069127e-05,1.1112,177
9.1,0.5431683659553528,1.4919354838709679e-05,1.0926,188
9.21,0.5279985666275024,1.4343317972350232e-05,1.117,189
9.33,0.61539626121521,1.3767281105990784e-05,1.0931,190
9.44,0.5710803270339966,1.3191244239631337e-05,1.1223,191
9.55,0.6885346174240112,1.261520737327189e-05,1.0947,192
9.66,0.5492015480995178,1.2039170506912444e-05,1.0784,193
9.78,0.5472254753112793,1.1463133640552997e-05,1.0533,194
9.89,0.5361647009849548,1.0887096774193549e-05,1.0609,195
10.0,0.759167492389679,1.0311059907834102e-05,1.0681,196
10.11,0.5481263995170593,9.735023041474654e-06,1.0792,207
10.23,0.48963463306427,9.158986175115209e-06,1.0426,208
10.34,0.5721067190170288,8.582949308755762e-06,1.0393,209
10.45,0.5820866227149963,8.006912442396314e-06,1.0805,210
10.56,0.6192902326583862,7.430875576036866e-06,1.0656,211
10.68,0.534244179725647,6.854838709677419e-06,1.06,212
10.79,0.5199759006500244,6.2788018433179736e-06,1.0437,213
10.9,0.6168833374977112,5.702764976958526e-06,1.0755,214
11.01,0.5102925300598145,5.1267281105990785e-06,1.0325,225
11.12,0.5535420775413513,4.550691244239631e-06,1.0434,226
11.24,0.5599095225334167,3.974654377880184e-06,1.0464,227
11.35,0.5117003321647644,3.3986175115207373e-06,1.0464,228
11.46,0.5822240114212036,2.82258064516129e-06,1.0462,229
11.57,0.5535693168640137,2.2465437788018435e-06,1.037,230
11.69,0.6162962913513184,1.6705069124423964e-06,1.068,231
11.8,0.6678179502487183,1.0944700460829493e-06,1.0208,232
11.91,0.5001537203788757,5.184331797235024e-07,1.0367,233
