epoch,grad_norm,learning_rate,loss,_line
0.01,,0.0,5.024,18
0.1,23.613649368286133,2.25e-06,5.3217,19
0.2,22.905725479125977,4.75e-06,5.206,20
0.3,21.52625274658203,7.25e-06,5.0691,21
0.4,13.855432510375977,9.750000000000002e-06,4.8542,22
0.51,7.815867900848389,1.225e-05,4.7435,23
0.61,7.302679061889648,1.475e-05,4.4755,24
0.71,6.787875175476074,1.725e-05,4.1872,25
0.81,5.19049596786499,1.9750000000000002e-05,3.9175,26
0.91,6.026828765869141,2.2250000000000002e-05,3.721,27
1.01,6.048942565917969,2.4750000000000002e-05,3.5521,38
1.11,5.868511199951172,2.725e-05,3.3481,39
1.21,6.1499505043029785,2.975e-05,3.1775,40
1.31,5.872542381286621,3.2250000000000005e-05,3.0247,41
1.41,6.84323263168335,3.475e-05,2.8347,42
1.52,6.399942398071289,3.7250000000000004e-05,2.7291,43
1.62,7.355293273925781,3.9750000000000004e-05,2.6191,44
1.72,7.655463218688965,4.2250000000000004e-05,2.5568,45
1.82,8.202198028564453,4.4750000000000004e-05,2.4687,46
1.92,8.141176223754883,4.7249999999999997e-05,2.3108,47
2.02,7.698714256286621,4.975e-05,2.2257,58
2.12,8.072897911071777,4.954453441295547e-05,2.1006,59
2.22,8.463118553161621,4.9038461538461536e-05,2.0064,60
2.32,7.237565040588379,4.8532388663967616e-05,1.8882,61
2.42,7.898289203643799,4.802631578947368e-05,1.9107,62
2.53,8.667182922363281,4.7520242914979756e-05,1.7941,63
2.63,7.5197882652282715,4.7014170040485836e-05,1.7676,64
2.73,9.126304626464844,4.65080971659919e-05,1.6015,65
2.83,8.783482551574707,4.600202429149798e-05,1.5891,66
2.93,8.322975158691406,4.549595141700405e-05,1.5103,67
3.03,7.417663097381592,4.498987854251012e-05,1.4462,78
3.13,8.797014236450195,4.4483805668016196e-05,1.3359,79
3.23,9.225979804992676,4.397773279352227e-05,1.2808,80
3.33,8.506770133972168,4.347165991902834e-05,1.258,81
3.43,8.875277519226074,4.2965587044534416e-05,1.2405,82
3.54,8.398476600646973,4.245951417004049e-05,1.2299,83
3.64,8.404850959777832,4.1953441295546556e-05,1.1926,84
3.74,9.04218578338623,4.1447368421052636e-05,1.1976,85
3.84,9.07381820678711,4.09412955465587e-05,1.2438,86
3.94,9.504313468933105,4.043522267206478e-05,1.1378,87
4.04,7.556846618652344,3.9929149797570856e-05,1.0926,98
4.14,8.275089263916016,3.942307692307692e-05,1.0431,99
4.24,7.85026216506958,3.8917004048583e-05,1.0091,100
4.34,9.289816856384277,3.841093117408907e-05,0.9686,101
4.44,7.87620210647583,3.790485829959514e-05,0.9858,102
4.55,8.030350685119629,3.7398785425101215e-05,0.9949,103
4.65,8.589180946350098,3.689271255060729e-05,0.9566,104
4.75,8.02113151550293,3.638663967611336e-05,0.9832,105
4.85,7.726166725158691,3.5880566801619435e-05,0.9654,106
4.95,9.132630348205566,3.537449392712551e-05,0.9721,107
5.05,7.784616470336914,3.4868421052631575e-05,0.9072,118
5.15,9.636673927307129,3.4362348178137655e-05,0.8463,119
5.25,8.050869941711426,3.385627530364373e-05,0.8012,120
5.35,8.482457160949707,3.33502024291498e-05,0.8073,121
5.45,7.606801509857178,3.2844129554655875e-05,0.7997,122
5.56,8.415775299072266,3.233805668016194e-05,0.8187,123
5.66,9.543431282043457,3.183198380566802e-05,0.79,124
5.76,8.288921356201172,3.132591093117409e-05,0.7935,125
5.86,9.326144218444824,3.081983805668016e-05,0.8551,126
5.96,8.534369468688965,3.0313765182186238e-05,0.7822,127
6.06,8.259878158569336,2.9807692307692308e-05,0.7343,138
6.16,7.443795680999756,2.9301619433198378e-05,0.6577,139
6.26,8.154062271118164,2.8795546558704455e-05,0.7026,140
6.36,7.863590717315674,2.8289473684210528e-05,0.6705,141
6.46,8.441133499145508,2.7783400809716605e-05,0.6917,142
6.57,8.350040435791016,2.7277327935222675e-05,0.6883,143
6.67,8.402223587036133,2.6771255060728745e-05,0.6932,144
6.77,7.784534454345703,2.626518218623482e-05,0.6867,145
6.87,7.628199100494385,2.575910931174089e-05,0.6901,146
6.97,8.289515495300293,2.5253036437246965e-05,0.6941,147
7.07,7.784267902374268,2.4746963562753038e-05,0.6394,158
7.17,7.357192039489746,2.424089068825911e-05,0.5582,159
7.27,8.079888343811035,2.3734817813765184e-05,0.5883,160
7.37,7.640105724334717,2.3228744939271258e-05,0.5874,161
7.47,7.473122596740723,2.2722672064777328e-05,0.6016,162
7.58,7.589621543884277,2.22165991902834e-05,0.5913,163
7.68,8.376004219055176,2.1710526315789474e-05,0.6052,164
7.78,8.340312957763672,2.1204453441295548e-05,0.5734,165
7.88,7.9493207931518555,2.069838056680162e-05,0.5955,166
7.98,9.724714279174805,2.0192307692307694e-05,0.5823,167
8.08,6.8124847412109375,1.9686234817813767e-05,0.5417,178
8.18,8.057868003845215,1.9180161943319837e-05,0.5182,179
8.28,8.283293724060059,1.867408906882591e-05,0.522,180
8.38,7.110233783721924,1.8168016194331984e-05,0.5257,181
8.48,8.034626007080078,1.7661943319838057e-05,0.4921,182
8.59,8.478948593139648,1.715587044534413e-05,0.5094,183
8.69,8.70603084564209,1.6649797570850204e-05,0.519,184
8.79,7.7432169914245605,1.6143724696356277e-05,0.5116,185
8.89,7.823192119598389,1.5637651821862347e-05,0.5474,186
8.99,8.582858085632324,1.5131578947368422e-05,0.4988,187
9.09,8.327519416809082,1.4625506072874495e-05,0.4887,198
9.19,7.983976364135742,1.4119433198380565e-05,0.4643,199
9.29,7.683262825012207,1.361336032388664e-05,0.4639,200
9.39,7.183378219604492,1.3107287449392714e-05,0.4557,201
9.49,6.994516849517822,1.2601214574898787e-05,0.4698,202
9.6,7.462639331817627,1.2095141700404859e-05,0.4699,203
9.7,7.476163387298584,1.1589068825910932e-05,0.4824,204
9.8,8.031750679016113,1.1082995951417005e-05,0.4556,205
9.9,7.720869541168213,1.0576923076923077e-05,0.4608,206
10.0,9.494906425476074,1.0070850202429152e-05,0.4512,207
10.1,7.3567795753479,9.564777327935223e-06,0.4262,218
10.2,6.693661212921143,9.058704453441295e-06,0.4287,219
10.3,7.51932430267334,8.552631578947368e-06,0.4163,220
10.4,7.00838565826416,8.046558704453442e-06,0.4467,221
10.51,7.716369152069092,7.540485829959515e-06,0.432,222
10.61,7.566977500915527,7.034412955465587e-06,0.4369,223
10.71,7.874092102050781,6.528340080971661e-06,0.4087,224
10.81,6.990123748779297,6.022267206477733e-06,0.4429,225
10.91,7.120420455932617,5.5161943319838056e-06,0.424,226
11.01,6.364205360412598,5.010121457489879e-06,0.4145,237
11.11,7.001212120056152,4.504048582995952e-06,0.3944,238
11.21,7.962541580200195,3.997975708502025e-06,0.4047,239
11.31,8.020413398742676,3.4919028340080975e-06,0.4097,240
11.41,6.951615333557129,2.9858299595141704e-06,0.4122,241
11.52,8.020306587219238,2.4797570850202433e-06,0.4059,242
11.62,7.29852819442749,1.9736842105263157e-06,0.4193,243
11.72,7.421378135681152,1.4676113360323886e-06,0.4114,244
11.82,6.657435417175293,9.615384615384617e-07,0.3951,245
11.92,7.8024420738220215,4.554655870445344e-07,0.397,246
