epoch,grad_norm,learning_rate,loss,_line
0.01,0.2036285102367401,0.0,5.024,23
0.1,0.23052699863910675,4.4999999999999996e-05,5.3214,24
0.2,0.22019194066524506,9.5e-05,5.2396,25
0.3,0.189117431640625,0.000145,5.2191,26
0.4,0.23472432792186737,0.00019500000000000002,5.1685,27
0.51,0.23743347823619843,0.000245,5.2394,28
0.61,0.23106078803539276,0.000295,5.1287,29
0.71,0.22028888761997223,0.000345,5.106,30
0.81,0.23029692471027374,0.000395,4.9998,31
0.91,0.1568174958229065,0.00044500000000000003,4.9181,32
1.01,0.22442492842674255,0.000495,4.9051,43
1.11,0.15670715272426605,0.000545,4.7842,44
1.21,0.12312951683998108,0.0005949999999999999,4.7076,45
1.31,0.10134541988372803,0.0006450000000000001,4.6215,46
1.41,0.10623544454574585,0.000695,4.4908,47
1.52,0.11337001621723175,0.000745,4.4249,48
1.62,0.116612009704113,0.000795,4.3793,49
1.72,0.1205364316701889,0.0008449999999999999,4.2836,50
1.82,0.11688495427370071,0.0008950000000000001,4.1857,51
1.92,0.10129431635141373,0.000945,4.0111,52
2.02,0.09511706233024597,0.000995,3.9246,63
2.12,0.09596085548400879,0.0009908906882591093,3.861,64
2.22,0.10300689190626144,0.0009807692307692308,3.8297,65
2.32,0.0993739441037178,0.0009706477732793523,3.7039,66
2.42,0.10127953439950943,0.0009605263157894737,3.7351,67
2.53,0.10017529875040054,0.0009504048582995951,3.6237,68
2.63,0.09686515480279922,0.0009402834008097167,3.6254,69
2.73,0.1127011701464653,0.000930161943319838,3.503,70
2.83,0.10962766408920288,0.0009200404858299596,3.5094,71
2.93,0.11612921953201294,0.000909919028340081,3.4489,72
3.03,0.10556238144636154,0.0008997975708502024,3.3957,83
3.13,0.12407772988080978,0.0008896761133603239,3.3505,84
3.23,0.1228611022233963,0.0008795546558704454,3.3138,85
3.33,0.11738968640565872,0.0008694331983805668,3.2283,86
3.43,0.12176032364368439,0.0008593117408906883,3.1997,87
3.54,0.12318607419729233,0.0008491902834008098,3.1646,88
3.64,0.6563854813575745,0.0008390688259109311,3.1236,89
3.74,0.12290382385253906,0.0008289473684210527,3.1083,90
3.84,0.13384220004081726,0.000818825910931174,3.2005,91
3.94,0.13853472471237183,0.0008087044534412956,3.042,92
4.04,0.1305394172668457,0.0007985829959514171,3.0569,103
4.14,0.147029846906662,0.0007884615384615384,3.077,104
4.24,0.13477054238319397,0.00077834008097166,2.9741,105
4.34,0.1747325211763382,0.0007682186234817814,2.9702,106
4.44,0.13640721142292023,0.0007580971659919028,2.938,107
4.55,0.13723860681056976,0.0007479757085020243,2.9213,108
4.65,0.13583707809448242,0.0007378542510121458,2.9037,109
4.75,0.1429559886455536,0.0007277327935222671,2.9055,110
4.85,0.14162053167819977,0.0007176113360323887,2.8965,111
4.95,0.1508558988571167,0.0007074898785425102,2.9462,112
5.05,0.16325326263904572,0.0006973684210526315,2.8683,123
5.15,0.15579825639724731,0.0006872469635627531,2.8694,124
5.25,0.15433065593242645,0.0006771255060728745,2.7963,125
5.35,0.1612841784954071,0.000667004048582996,2.8026,126
5.45,0.14388251304626465,0.0006568825910931174,2.7449,127
5.56,0.15205197036266327,0.0006467611336032389,2.8193,128
5.66,0.16665619611740112,0.0006366396761133603,2.7321,129
5.76,0.15110792219638824,0.0006265182186234818,2.744,130
5.86,0.16831089556217194,0.0006163967611336033,2.7913,131
5.96,0.15881967544555664,0.0006062753036437247,2.7354,132
6.06,0.1665685474872589,0.0005961538461538462,2.702,143
6.16,0.15700282156467438,0.0005860323886639675,2.6774,144
6.26,0.16178949177265167,0.0005759109311740891,2.6756,145
6.36,0.1660730391740799,0.0005657894736842105,2.6846,146
6.46,0.1606336236000061,0.0005556680161943321,2.6944,147
6.57,0.16079694032669067,0.0005455465587044534,2.6388,148
6.67,0.164664626121521,0.0005354251012145749,2.646,149
6.77,0.15896913409233093,0.0005253036437246965,2.6486,150
6.87,0.17327071726322174,0.0005151821862348178,2.6557,151
6.97,0.1662711203098297,0.0005050607287449393,2.679,152
7.07,0.1699332743883133,0.0004949392712550607,2.6543,163
7.17,0.15922029316425323,0.0004848178137651822,2.585,164
7.27,0.17178493738174438,0.0004746963562753037,2.5936,165
7.37,0.1713225245475769,0.00046457489878542514,2.5584,166
7.47,0.1742262840270996,0.00045445344129554655,2.6186,167
7.58,0.1822395771741867,0.000444331983805668,2.6089,168
7.68,0.1700231283903122,0.0004342105263157895,2.5867,169
7.78,0.18460674583911896,0.0004240890688259109,2.5446,170
7.88,0.18169909715652466,0.00041396761133603236,2.592,171
7.98,0.18602880835533142,0.0004038461538461539,2.563,172
8.08,0.16959775984287262,0.00039372469635627535,2.545,183
8.18,0.1837175041437149,0.00038360323886639676,2.5489,184
8.28,0.1873358190059662,0.00037348178137651823,2.5591,185
8.38,0.17344535887241364,0.0003633603238866397,2.5743,186
8.48,0.1870318502187729,0.0003532388663967611,2.5023,187
8.59,0.20401138067245483,0.00034311740890688257,2.5059,188
8.69,0.1955929398536682,0.00033299595141700404,2.5247,189
8.79,0.1851091980934143,0.00032287449392712556,2.4881,190
8.89,0.18401773273944855,0.00031275303643724697,2.5336,191
8.99,0.21238860487937927,0.00030263157894736844,2.4951,192
9.09,0.201381653547287,0.0002925101214574899,2.5348,203
9.19,0.18982546031475067,0.0002823886639676113,2.4762,204
9.29,0.20645898580551147,0.0002722672064777328,2.4989,205
9.39,0.19515369832515717,0.00026214574898785425,2.447,206
9.49,0.1967855542898178,0.0002520242914979757,2.5307,207
9.6,0.18586738407611847,0.00024190283400809718,2.4879,208
9.7,0.19516445696353912,0.00023178137651821862,2.5063,209
9.8,0.20374684035778046,0.00022165991902834008,2.4515,210
9.9,0.20390743017196655,0.00021153846153846155,2.4865,211
10.0,0.20697392523288727,0.00020141700404858302,2.4373,212
10.1,0.201344296336174,0.00019129554655870445,2.4956,223
10.2,0.18743686378002167,0.0001811740890688259,2.4467,224
10.3,0.19341900944709778,0.00017105263157894739,2.4318,225
10.4,0.19489766657352448,0.00016093117408906883,2.4939,226
10.51,0.20874527096748352,0.0001508097165991903,2.4826,227
10.61,0.1918662190437317,0.00014068825910931173,2.5072,228
10.71,0.22114400565624237,0.00013056680161943322,2.4187,229
10.81,0.17955243587493896,0.00012044534412955466,2.4665,230
10.91,0.20984987914562225,0.00011032388663967611,2.447,231
11.01,0.19771307706832886,0.00010020242914979758,2.4172,242
11.11,0.19805656373500824,9.008097165991903e-05,2.4441,243
11.21,0.21218937635421753,7.995951417004049e-05,2.4406,244
11.31,0.18785691261291504,6.983805668016195e-05,2.4247,245
11.41,0.20669235289096832,5.9716599190283404e-05,2.4636,246
11.52,0.21212168037891388,4.9595141700404864e-05,2.4814,247
11.62,0.19374075531959534,3.9473684210526316e-05,2.466,248
11.72,0.19719330966472626,2.9352226720647772e-05,2.4782,249
11.82,0.1870732307434082,1.923076923076923e-05,2.4304,250
11.92,0.20396363735198975,9.109311740890687e-06,2.4363,251
