epoch,grad_norm,learning_rate,loss,_line
0.01,0.37306541204452515,0.0,4.2712,18
0.1,0.3238338530063629,2.25e-06,3.6129,19
0.19,0.39400431513786316,4.75e-06,3.6852,20
0.29,0.2305428385734558,7.25e-06,3.6788,21
0.38,0.30942514538764954,9.750000000000002e-06,3.5691,22
0.48,0.3252424895763397,1.225e-05,3.6734,23
0.57,0.2363489419221878,1.475e-05,3.6207,24
0.67,0.3253628611564636,1.725e-05,3.7265,25
0.77,0.2962144613265991,1.9750000000000002e-05,3.7442,26
0.86,0.3028162717819214,2.2250000000000002e-05,3.6705,27
0.96,0.2844589948654175,2.4750000000000002e-05,3.7459,28
1.05,0.29574957489967346,2.725e-05,3.7149,39
1.14,0.25120651721954346,2.975e-05,3.5896,40
1.24,0.3548440635204315,3.2250000000000005e-05,3.7235,41
1.33,0.24906040728092194,3.475e-05,3.6255,42
1.43,0.30312615633010864,3.7250000000000004e-05,3.5905,43
1.53,0.20677277445793152,3.9750000000000004e-05,3.6044,44
1.62,0.34897491335868835,4.2250000000000004e-05,3.5619,45
1.72,0.2579256296157837,4.4750000000000004e-05,3.5994,46
1.81,0.3614569306373596,4.7249999999999997e-05,3.602,47
1.91,0.2905404567718506,4.975e-05,3.5528,48
2.0,0.3810747265815735,4.9575471698113206e-05,3.6642,49
2.1,0.3506636321544647,4.910377358490566e-05,3.5226,60
2.19,0.29113778471946716,4.8632075471698116e-05,3.589,61
2.29,0.27490657567977905,4.8160377358490565e-05,3.5843,62
2.38,0.4136030375957489,4.768867924528302e-05,3.5165,63
2.48,0.32280293107032776,4.721698113207547e-05,3.455,64
2.57,0.27837935090065,4.6745283018867925e-05,3.412,65
2.67,0.3296642601490021,4.627358490566038e-05,3.5151,66
2.77,0.3403405547142029,4.580188679245283e-05,3.4661,67
2.86,0.39896756410598755,4.5330188679245284e-05,3.4184,68
2.96,0.3717498481273651,4.485849056603774e-05,3.514,69
3.05,0.3108723759651184,4.438679245283019e-05,3.3528,80
3.14,0.3148001432418823,4.3915094339622644e-05,3.3985,81
3.24,0.32905831933021545,4.344339622641509e-05,3.4516,82
3.33,0.31226620078086853,4.297169811320755e-05,3.4223,83
3.43,0.3038861155509949,4.25e-05,3.3241,84
3.53,0.38711923360824585,4.202830188679245e-05,3.349,85
3.62,0.34958112239837646,4.155660377358491e-05,3.3945,86
3.72,0.30474168062210083,4.108490566037736e-05,3.3199,87
3.81,0.3366149663925171,4.061320754716981e-05,3.3001,88
3.91,0.3296939432621002,4.014150943396227e-05,3.363,89
4.0,0.2552638053894043,3.9669811320754715e-05,3.2221,90
4.1,0.3402673602104187,3.919811320754717e-05,3.2877,101
4.19,0.4612188935279846,3.8726415094339626e-05,3.2657,102
4.29,0.33935490250587463,3.8254716981132075e-05,3.338,103
4.38,0.4032142758369446,3.778301886792453e-05,3.2804,104
4.48,0.32814767956733704,3.7311320754716986e-05,3.2094,105
4.57,0.3407471179962158,3.6839622641509434e-05,3.2466,106
4.67,0.34249937534332275,3.636792452830189e-05,3.2398,107
4.77,0.3163372874259949,3.589622641509434e-05,3.2176,108
4.86,0.33632272481918335,3.5424528301886794e-05,3.2034,109
4.96,0.36458757519721985,3.495283018867925e-05,3.1813,110
5.05,0.30645132064819336,3.44811320754717e-05,3.1992,121
5.14,0.3418884873390198,3.400943396226415e-05,3.2385,122
5.24,0.30930593609809875,3.353773584905661e-05,3.1477,123
5.33,0.2945482134819031,3.306603773584906e-05,3.1924,124
5.43,0.3102971911430359,3.259433962264151e-05,3.1437,125
5.53,0.33560410141944885,3.212264150943397e-05,3.1082,126
5.62,0.28832051157951355,3.165094339622642e-05,3.1322,127
5.72,0.296451210975647,3.117924528301887e-05,3.1166,128
5.81,0.28368842601776123,3.070754716981132e-05,3.121,129
5.91,0.2999870777130127,3.0235849056603776e-05,3.1052,130
6.0,0.3766981363296509,2.976415094339623e-05,3.1008,131
6.1,0.3456656038761139,2.9292452830188684e-05,3.0492,142
6.19,0.33123788237571716,2.8820754716981136e-05,3.0756,143
6.29,0.3456498086452484,2.8349056603773588e-05,3.1099,144
6.38,0.29195356369018555,2.787735849056604e-05,3.0549,145
6.48,0.2556459903717041,2.7405660377358495e-05,3.0486,146
6.57,0.3156227171421051,2.6933962264150947e-05,3.0903,147
6.67,0.3031993508338928,2.64622641509434e-05,3.0226,148
6.77,0.3106503188610077,2.599056603773585e-05,3.0698,149
6.86,0.3192442059516907,2.5518867924528307e-05,3.0953,150
6.96,0.29165929555892944,2.504716981132076e-05,3.0889,151
7.05,0.2885095775127411,2.4575471698113208e-05,3.0859,162
7.14,0.23926573991775513,2.4103773584905663e-05,2.9753,163
7.24,0.2750599980354309,2.3632075471698115e-05,2.964,164
7.33,0.2701566815376282,2.3160377358490567e-05,3.0068,165
7.43,0.3021681606769562,2.268867924528302e-05,3.0715,166
7.53,0.2587997317314148,2.2216981132075475e-05,3.0569,167
7.62,0.29338279366493225,2.1745283018867927e-05,3.021,168
7.72,0.30352988839149475,2.127358490566038e-05,2.9715,169
7.81,0.30364856123924255,2.080188679245283e-05,3.063,170
7.91,0.21315377950668335,2.0330188679245286e-05,2.9544,171
8.0,0.4144415557384491,1.9858490566037738e-05,3.1142,172
8.1,0.30435124039649963,1.938679245283019e-05,2.9849,183
8.19,0.278303861618042,1.8915094339622642e-05,3.0037,184
8.29,0.3019215166568756,1.8443396226415094e-05,3.0133,185
8.38,0.24184034764766693,1.7971698113207546e-05,2.922,186
8.48,0.27141526341438293,1.75e-05,3.0224,187
8.57,0.26456114649772644,1.7028301886792454e-05,2.9588,188
8.67,0.2375313937664032,1.6556603773584906e-05,2.9749,189
8.77,0.20188269019126892,1.6084905660377358e-05,2.971,190
8.86,0.2589378356933594,1.561320754716981e-05,2.9812,191
8.96,0.24833214282989502,1.5141509433962264e-05,2.9952,192
9.05,0.25796255469322205,1.4669811320754717e-05,2.9572,203
9.14,0.24045035243034363,1.419811320754717e-05,2.9468,204
9.24,0.20697808265686035,1.3726415094339623e-05,2.9365,205
9.33,0.26194411516189575,1.3254716981132075e-05,2.938,206
9.43,0.2556455731391907,1.2783018867924529e-05,2.9404,207
9.53,0.26466241478919983,1.2311320754716981e-05,2.9386,208
9.62,0.19832316040992737,1.1839622641509435e-05,2.9465,209
9.72,0.2493627816438675,1.1367924528301887e-05,2.9853,210
9.81,0.25943291187286377,1.089622641509434e-05,2.9492,211
9.91,0.22721530497074127,1.0424528301886793e-05,2.9274,212
10.0,0.24480855464935303,9.952830188679246e-06,2.9289,213
10.1,0.3350590765476227,9.481132075471698e-06,2.9901,224
10.19,0.2667071521282196,9.00943396226415e-06,2.9494,225
10.29,0.22787466645240784,8.537735849056604e-06,2.9222,226
10.38,0.27381402254104614,8.066037735849056e-06,2.9968,227
10.48,0.20458893477916718,7.594339622641509e-06,2.9492,228
10.57,0.198273703455925,7.122641509433962e-06,2.9538,229
10.67,0.22958099842071533,6.650943396226416e-06,2.9142,230
10.77,0.2622148096561432,6.179245283018869e-06,2.9099,231
10.86,0.22516030073165894,5.7075471698113215e-06,2.916,232
10.96,0.20830947160720825,5.235849056603774e-06,2.875,233
